observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,FITS_FILE,DECISION
0148880101,Pesonen,143.07808,-11.071041,143.15459,-11.05193,L,2,,N
0201902401,Richardbaum,312.04135,-17.95731,312.1351,-17.939861,L,2,/Users/pau/git/phc1990/tfm-viu/temp/0201902401/L/P0201902401OMS403SIMAGE1000.FTZ,N
0201902401,Richardbaum,312.04135,-17.95731,312.1351,-17.939861,L,2,/Users/pau/git/phc1990/tfm-viu/temp/0201902401/L/P0201902401OMS404SIMAGE1000.FTZ,N
0203360701,2000 AE149,150.4127,2.501,150.47028,2.465165,L,2,,N
0300240101,Mucha,139.65082,16.330862,139.72375,16.316349,L,2,,N
0412592501,1996 UT,83.76607,21.908499,83.77202,21.908983,L,2,,N
0501270301,The,98.4076,17.725702,98.443306,17.726965,L,2,,N
0603980101,1999 UX35,3.351043,5.5268273,3.6045234,5.6390986,L,2,,N
0605990501,1998 FZ52,272.32047,-19.705824,272.3333,-19.702621,L,2,/Users/pau/git/phc1990/tfm-viu/temp/0605990501/L/P0605990501OMS005FSIMAGL000.FTZ,N
0605990501,1998 FZ52,272.32047,-19.705824,272.3333,-19.702621,L,2,/Users/pau/git/phc1990/tfm-viu/temp/0605990501/L/P0605990501OMS007SIMAGE0000.FTZ,N
0651770201,2000 EF85,183.88443,-11.879962,184.07118,-12.023704,L,2,,N
