observation,sso_name,ra1,dec1,ra2,dec2,filters,x_type
0782650101,1999 RU128,148.4771184,1.610909611,148.5702264,1.573129028,M;L;U,2
0793183501,Pluto,290.4538513,-21.19250028,290.4627145,-21.19216222,L;U;B;V,2
0793183801,Pluto,290.5976094,-21.20850228,290.5941724,-21.21058642,L;U;B;V,2
0800380101,Aimeemcarthy,334.2823285,-3.633520861,334.5500116,-3.628896917,M;L;U,4
0800400501,Sarpedon,137.5143637,-0.7671195,137.5362295,-0.744149,M;L;U,2
0800400601,2002 VU94,132.693046,-0.0530325,132.6390517,0.05990219444,M;L;U,2
0803161101,Asteropaios,159.304195,-2.555804833,159.3039392,-2.567429139,L;B,2
0803950801,Salazar,146.9090978,14.37213733,146.9327653,14.36387231,L;B,2
0803952201,Reseda,180.29188,1.151024972,180.3209618,1.136621639,L;B,4
0803952601,Joensuu,126.3411467,31.90827689,126.4194533,31.91556219,L;B,4
0804250301,Flagstaff,266.6556002,-29.83210128,266.7527539,-29.84931656,S;M;L;U;B,2
0810600201,2001 UY127,50.2470725,-1.158312056,50.30279604,-1.026853944,M;L;U,2
0811212701,1999 XT90,197.299954,-23.56913144,197.4071665,-23.70903806,M;L;U,4
0820460101,1999 FC32,177.9620883,3.972947472,178.0113729,3.942962222,L;V,4
0821250601,2000 VR36,35.83477292,-3.512480722,36.04166496,-3.298254861,M;L;U,2
0830191001,2001 AG18,197.108645,-23.29220028,197.2994372,-23.30699,M;L;U,4
