observation,object,S,M,L,U,B,V
0012440101,Lictoria,,,D,,D,
0081340801,Stepanov,,,N,N,D,
0106660601,1994 UF2,,,N,N,,
0110980101,Lucubratio,,,Y,,Y,
0110980601,1030 T-1,,,N,N,Y,
0111170101,Velichko,,,N,,,N
0137550501,Vermeer,,,N,N,,
0148090501,2000 VH57,,,N,,Y,
0148560501,2000 OR6,,,N,,,N
0153450101,Coubertin,,,N,,N,
0153950901,2000 SG172,,,N,Y,,
0164570401,1998 QN30,,,N,N,,
0202680101,1992 AJ1,,,N,N,,
0202680101,Puntel,,,N,N,,
0202730101,Kiyosato,,,N,N,N,
0203170301,1998 YB12,,,N,N,N,N
0203450201,1941 UN,,,N,Y,,
0203850201,1981 ET34,,,N,Y,,
0206060101,1993 UB3,,,N,N,,
0206060201,Vanavara,,,N,N,,
0206490301,Africa,,,N,N,,
0300240101,Mucha,,,N,N,N,
0300480301,1994 YO1,,,N,N,N,N
0300960631,Hermitage,,,N,,D,
0302580701,Chesneau,,,Y,Y,,
0303561001,Fredtreasure,,,Y,Y,,
0312790101,1999 AD32,,,N,N,,
0402360101,2006 BQ6,,N,N,N,N,
0402430301,Masciarelli,,,N,Y,,
0402750301,Kazo,,,N,N,,
0500760101,1999 XN105,,,N,N,,
0501270301,The,,,N,D,,
0502091601,Kulibin,,,N,,N,
0502120101,Ibuki,,,N,N,,N
0502430101,2000 BJ4,,,N,N,,
0503490201,Naruke,,,N,N,,
0503490201,2000 QP27,,,N,N,,
0504780501,1999 XQ57,,,N,N,,
0552860101,Nantong,,,N,N,,
0556212301,Amenemhet,,N,N,,N,
0601391001,Joan,N,N,N,D,Y,Y
0601670101,1986 RP5,,N,N,N,,
0604740101,Lijiang,,N,N,N,,
0604740101,2000 NA6,,N,N,N,,
0650510301,1999 SG12,,N,N,N,N,
0653840401,Grotius,N,N,N,N,,
0653950201,1993 SG1,,,N,N,N,N
0656200101,2000 WU93,,N,N,N,,
0670120301,Chrisclark,N,N,N,N,N,N
0670880401,1999 AN25,N,N,N,N,,
0672990201,1994 CG2,,N,N,N,,
0673310101,2000 JZ79,,N,N,N,,
0673310101,2000 AV91,,N,N,N,,
0673550201,1996 YP,,N,N,N,,
0674370201,Zurich,,N,N,N,,
0674480401,Potomac,,,N,N,,
0692330401,Ivanka,,N,Y,Y,,
0692330501,1998 HF34,,N,N,D,,
0692510201,Quaide,,N,N,,,Y
0693820201,2000 RX67,,N,N,N,,
0694510101,Siegena,,N,N,N,N,
0700182001,Landi,,N,N,N,,
0721010501,1989 ST10,N,N,N,N,N,N
0722310201,Auster,,N,N,N,,
0723800701,1981 FT,N,N,N,N,N,N
0727771001,1988 XT1,N,N,N,,Y,
0740920301,Tampere,N,,Y,N,,
0742570101,1990 QT9,,N,N,N,,
0743050301,2000 SL1,N,N,N,N,N,N
0743630501,2000 SG234,,N,N,N,,
0743950501,Aakashshah,N,N,N,,N,N
0744420101,1988 RK,N,N,N,,N,
0744440301,Lipschutz,N,N,N,N,,Y
0744440301,2001 FV5,N,N,N,N,,N
0748190101,1999 WA3,,N,N,N,N,N
0748391301,1998 EC9,N,N,N,N,,
0762520301,Boyan,N,N,Y,Y,Y,N
0763100101,Raissa,N,N,N,N,,
0763100101,Silentium,N,N,N,N,,
0782650101,1999 RU128,,N,N,N,,
0793183501,Pluto,,,Y,D,D,D
0793183801,Pluto,,,D,D,D,D
0800380101,Aimeemcarthy,,N,N,N,,
0800400501,Sarpedon,,N,D,D,,
0800400601,2002 VU94,,N,N,Y,,
0803161101,Asteropaios,,,D,,D,
0803950801,Salazar,,,D,,N,
0803952201,Reseda,,,N,,N,
0803952601,Joensuu,,,N,,N,
0804250301,Flagstaff,N,N,N,N,Y,
0810600201,2001 UY127,,N,N,Y,,
0811212701,1999 XT90,,N,N,N,,
0820460101,1999 FC32,,,N,,,N
0821250601,2000 VR36,,N,N,D,,
0830191001,2001 AG18,,N,N,N,,
