observation,sso_name,ra1,dec1,ra2,dec2,filters,x_type
0012440101,Lictoria,13.99603658,-1.415317889,14.07883767,-1.363111917,L;B,2
0081340801,Stepanov,183.3527003,2.7053835,183.433249,2.687358,L;U;B,2
0106660601,1994 UF2,333.6775958,-17.72910939,333.9756773,-17.53652372,L;U,3
0110980101,Lucubratio,170.061614,13.66864472,170.2531624,13.58085442,L;B,2
0110980601,1030 T-1,199.8925842,-14.85586353,200.1011217,-14.91287867,L;U;B,2
0111170101,Velichko,98.05291688,17.67519933,98.37874979,17.70504883,L;V,2
0137550501,Vermeer,83.65883033,21.96132228,83.72975342,21.95673122,L;U,2
0148090501,2000 VH57,268.6228585,-26.34105697,268.6597257,-26.33875756,L;B,2
0148560501,2000 OR6,157.6945887,5.506792639,157.9910666,5.444162528,L;V,2
0153450101,Coubertin,191.7900402,-5.714503389,192.0338537,-5.8043765,L;B,2
0153950901,2000 SG172,245.6509016,-15.71548278,245.687865,-15.72228931,L;U,2
0164570401,1998 QN30,229.0141158,-16.05640242,229.2929736,-16.14343586,L;U,2
0202680101,1992 AJ1,263.4018785,-26.09088186,263.940696,-26.11426953,L;U,2
0202680101,Puntel,263.1458409,-26.11714492,263.7103745,-26.16403192,L;U,3
0202730101,Kiyosato,155.414775,21.64732233,155.5115943,21.58226161,L;U;B,4
0203170301,1998 YB12,187.924908,0.3078198611,188.2312754,0.1890703333,L;U;B;V,2
0203450201,1941 UN,330.777767,-19.12108378,330.9844593,-19.069593,L;U,2
0203850201,1981 ET34,278.7704483,-7.654013611,278.8745769,-7.677327028,L;U,2
0206060101,1993 UB3,358.6213643,5.807185972,358.7399671,5.873919833,L;U,2
0206060201,Vanavara,144.8699843,14.97476194,144.9659829,14.94839681,L;U,2
0206490301,Africa,337.1189521,-24.69079364,337.2161115,-24.68050169,L;U,4
0300240101,Mucha,139.650819,16.33086269,139.7237488,16.31634964,L;U;B,2
0300480301,1994 YO1,133.5344843,20.16909269,133.6593827,20.11736764,L;U;B;V,4
0300960631,Hermitage,204.3960185,-9.539437083,204.4068013,-9.540443056,L;B,2
0302580701,Chesneau,326.4374095,4.212535,326.5023323,4.446862,L;U,4
0303561001,Fredtreasure,192.5847993,-23.53889469,192.6238483,-23.529534,L;U,2
0312790101,1999 AD32,83.45220263,21.92756267,83.58099579,21.99086489,L;U,2
0402360101,2006 BQ6,27.57513963,32.19779597,20.13579171,33.51657169,M;L;U;B,3
0402430301,Masciarelli,266.332632,-28.93590631,266.5198225,-28.98743756,L;U,2
0402750301,Kazo,35.18939329,19.84358708,35.31994388,19.90695697,L;U,2
0500760101,1999 XN105,168.2132115,13.48386681,168.2961424,13.48310722,L;U,2
0501270301,The,98.40760025,17.72570306,98.44330771,17.72696461,L;U,2
0502091601,Kulibin,139.6860336,16.17447492,139.9306879,16.10896939,L;B,2
0502120101,Ibuki,184.5898656,5.767884056,185.0411175,5.664890611,L;U;V,3
0502430101,2000 BJ4,197.675828,-5.848601611,197.8108237,-5.93855275,L;U,2
0503490201,Naruke,340.5789013,-9.697185722,340.805813,-9.601553056,L;U,2
0503490201,2000 QP27,340.263912,-9.828102417,340.9032975,-9.58547225,L;U,3
0504780501,1999 XQ57,193.2852633,-9.254789083,193.5174435,-9.269204778,L;U,4
0552860101,Nantong,163.640493,-5.670915611,163.651515,-5.753722778,L;U,2
0556212301,Amenemhet,223.6749917,1.731918444,223.7060366,1.711334833,M;L;B,2
0601391001,Joan,311.1092784,-10.79975797,311.3062858,-10.78449478,S;M;L;U;B;V,2
0601670101,1986 RP5,19.7594455,3.550315778,19.94961175,3.669347333,M;L;U,4
0604740101,Lijiang,321.4909871,-12.20326347,321.776253,-12.12629567,M;L;U,2
0604740101,2000 NA6,321.2284947,-12.19873319,321.6523976,-12.00705717,M;L;U,4
