observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,FITS_FILE,DECISION
0148880101,Pesonen,143.07808,-11.071041,143.15459,-11.05193,L,2,/Users/eracero/workspace/tfm-viu/temp/0148880101/L/P0148880101OMS408SIMAGE2000.FTZ,D
0148880101,Pesonen,143.07808,-11.071041,143.15459,-11.05193,L,2,/Users/eracero/workspace/tfm-viu/temp/0148880101/L/P0148880101OMS404SIMAGE2000.FTZ,D
0201902401,Richardbaum,312.04135,-17.95731,312.1351,-17.939861,L,2,,N
0203360701,2000 AE149,150.4127,2.501,150.47028,2.465165,L,2,,N
0300240101,Mucha,139.65082,16.330862,139.72375,16.316349,L,2,,N
0412592501,1996 UT,83.76607,21.908499,83.77202,21.908983,L,2,P0412592501OMS006FSIMAGL000.FTZ,D
0501270301,The,98.4076,17.725702,98.443306,17.726965,L,2,,N
0603980101,1999 UX35,3.351043,5.5268273,3.6045234,5.6390986,L,2,,N
0605990501,1998 FZ52,272.32047,-19.705824,272.3333,-19.702621,L,2,,N
0651770201,2000 EF85,183.88443,-11.879962,184.07118,-12.023704,L,2,,N
0670120401,Chrisclark,343.588,-17.584646,343.6382,-17.397612,L,2,,N
0673002335,Dowling,352.51404,-1.0533836,353.17795,-0.76529545,L,3,P0673002335OMS409SIMAGE0000.FTZ,Y
0673002347,1981 EX26,351.8393,-0.87859577,352.49908,-0.5885451,L,3,,N
0677610140,1998 MN16,30.132433,-4.5725913,30.39163,-4.238744,L,4,,N
0691070301,Weisell,272.57022,-19.679125,272.59232,-19.69136,L,2,,N
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,L,3,P0691840101OMS413SIMAGE1000.FTZ,Y
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,L,3,P0691840101OMS414SIMAGE1000.FTZ,Y
0692330401,Ivanka,112.18933,33.894558,112.34965,33.930218,L,2,,N
0700182001,Landi,322.27206,-7.793743,322.3754,-7.771864,L,2,,N
0720250801,1989 AJ,191.11758,-11.931116,191.16841,-11.946742,L,2,,N
0728980201,Olausgutho,151.68561,12.850109,151.87369,12.78802,L,2,,N
0744490401,Gurzhij,338.88007,-12.779612,339.32846,-12.523151,L,2,,N
0760646601,1991 CS,256.18265,-47.787766,255.81529,-49.09465,L,3,,N
0780760201,1999 TW207,42.33431,42.2853,42.590015,42.18258,L,4,,N
0784401201,Jepejacobsen,126.58924,26.702383,126.680244,26.69026,L,2,,N
0801680601,2000 JC85,267.03726,-29.78195,267.10678,-29.793716,L,2,,N
0801681001,1991 SK2,267.35052,-30.198545,267.41754,-30.179098,L,2,,N
0802200801,1998 SM135,165.06418,9.969449,165.20471,9.921187,L,2,P0802200801OMS403SIMAGE2000.FTZ,Y
0803161101,Asteropaios,159.3042,-2.5558047,159.30394,-2.567429,L,2,P0803161101OMS411SIMAGE1000.FTZ,D
0110980101,Lucubratio,170.06161,13.668645,170.25316,13.580854,L,2,P0110980101OMS406SIMAGE1000.FTZ,D
0110980101,Lucubratio,170.06161,13.668645,170.25316,13.580854,L,2,P0110980101OMS411SIMAGE1000.FTZ,D
0160961001,Kaneko,83.614944,21.909878,83.63377,21.911007,L,2,,N
0202730301,1998 XN8,190.58603,14.317165,190.61578,14.256748,L,4,,N
0302352401,Aaltje,149.75444,2.0376306,149.79918,2.0355196,L,2,P0302352401OMS404SIMAGE1000.FTZ,Y
0302580701,Chesneau,326.4374,4.212535,326.50232,4.446862,L,4,P0302580701OMS405SIMAGE1000.FTZ,D
0303561001,Fredtreasure,192.5848,-23.538895,192.62386,-23.529533,L,2,P0303561001OMS007SIMAGE0000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS008FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS022FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS021FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS018FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS012FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS016FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS006FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS011FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS015FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS014FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS010FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS007FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS017FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS013FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS019FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS020FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS023FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,P0305540501OMS009FSIMAGL000.FTZ,Y
