target_name,observation_id,filter,fits_name,mag_ab,mag_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,apcorr_mag,mag_ab_apcorr,mag_ab_apcorr_err
Pesonen,0148880101,L,/Users/eracero/workspace/tfm-viu/temp/0148880101/L/P0148880101OMS408SIMAGE2000.FTZ,22.08205042394403,0.22290779177913184,0.03923375090517685,0.008054912775744275,167.92045387415692,34.4750266801855,882.0719994087704,11.479517496977335,2.0775219533962264,714.1515455346134,16.386228051436827,62.2109375,440.197265625,18.5662,5.0,6.999999999999999,0.0,0.0,22.08205042394403,0.22290779177913184
Pesonen,0148880101,L,/Users/eracero/workspace/tfm-viu/temp/0148880101/L/P0148880101OMS404SIMAGE2000.FTZ,,,,,,,,,,,,,,,5.0,5.0,,,,
1996 UT,0412592501,L,P0412592501OMS006FSIMAGL000.FTZ,21.013333666054198,0.20917704161931303,0.10498966103478667,0.02022722530695412,104.98966103478668,20.22722530695412,306.28256983542815,5.078945855801717,1.4875420824702652,201.29290880064147,9.364761192747233,39.6328125,229.28125,18.5662,5.0,4.999999999999999,0.0,0.0,21.013333666054198,0.20917704161931303
Dowling,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,18.785817431853133,0.04991697710226413,0.8168701516202722,0.037555804223081996,2564.972276087655,117.92522526047746,9644.452723329887,17.535462063302425,2.8364265443566925,7079.480447242232,56.99196449982981,403.7236328125,1293.4501953125,18.5662,9.0,9.0,0.0,0.0,18.785817431853133,0.04991697710226413
Guericke,0691840101,L,P0691840101OMS413SIMAGE1000.FTZ,17.650185429971646,0.014515232588629362,2.324908300380731,0.03108175903466523,11624.541501903655,155.40879517332615,19671.14783140272,19.700477899359335,2.98614873666022,8046.6063294990645,60.35029983749182,408.447265625,1773.9716796875,18.5662,15.0,13.0,0.0,0.0,17.650185429971646,0.014515232588629362
Guericke,0691840101,L,P0691840101OMS414SIMAGE1000.FTZ,17.641574353542353,0.014215951178799018,2.3434206824743278,0.030683291346554706,11717.103412371638,153.41645673277353,19573.407741389237,19.37739664499833,2.793891733861219,7856.3043290176,56.25627957399546,405.4365234375,1607.0400390625,18.5662,14.0,12.0,0.0,0.0,17.641574353542353,0.014215951178799018
1998 SM135,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,17.666355122767282,0.026026149886465896,2.290540372215384,0.0549064846779318,6825.810309201845,163.62132434023675,19566.882684399374,14.282306159621882,2.546640916654307,12741.07237519753,76.06266447456979,892.087890625,3635.861328125,18.5662,13.0,16.0,0.0,0.0,17.666355122767282,0.026026149886465896
Asteropaios,0803161101,L,P0803161101OMS411SIMAGE1000.FTZ,21.845826866548634,0.27356264333051417,0.04876960671353216,0.012288017093237624,67.30205726467437,16.95746358866792,216.35211904137395,5.001384908717776,1.4463028404969462,149.05006177669958,7.8955098498805425,29.8017578125,209.58203125,18.5662,5.0,5.0,0.0,0.0,21.845826866548634,0.27356264333051417
Lucubratio,0110980101,L,P0110980101OMS406SIMAGE1000.FTZ,20.83192686002141,0.18722973190139755,0.1240821345717186,0.02139734225411703,248.1642691434372,42.794684508234056,1277.2372195040807,8.247661358806717,1.8396770887526175,1029.0729503606435,20.54940590101117,124.771484375,399.5478515625,18.5662,5.0,4.999999999999998,0.0,0.0,20.83192686002141,0.18722973190139755
Lucubratio,0110980101,L,P0110980101OMS411SIMAGE1000.FTZ,20.544883991523925,0.16424672415119365,0.16163164887828452,0.024451127021130538,323.26329775656905,48.90225404226108,1745.2857166561298,8.043699701448103,1.7855115503123644,1422.0224188995608,23.740396133369792,176.787109375,1207.1767578125,18.5662,5.0,10.0,0.0,0.0,20.544883991523925,0.16424672415119365
Aaltje,0302352401,L,P0302352401OMS404SIMAGE1000.FTZ,18.860392289115918,0.03344820547017282,0.7626461537974711,0.0234947954689306,2959.067076734188,91.15980641945073,6625.146059830673,14.934715965591074,2.4079092930725,3666.078983096485,37.72615526409205,245.4736328125,1335.0078125,18.5662,8.0,10.999999999999998,0.0,0.0,18.860392289115918,0.03344820547017282
Chesneau,0302580701,L,P0302580701OMS405SIMAGE1000.FTZ,20.390660326839313,0.12309238805613888,0.18630129308277354,0.02112140618299957,558.9038792483207,63.36421854899871,2914.1237870939076,9.966424583278776,1.926857351956267,2355.219907845587,29.620719520802375,236.3154296875,927.640625,18.5662,5.0,7.0,0.0,0.0,20.390660326839313,0.12309238805613888
Fredtreasure,0303561001,L,P0303561001OMS007SIMAGE0000.FTZ,20.06410437529837,0.08678474880694459,0.25167394101664936,0.02011673164782572,981.5283699649326,78.4552534265203,4353.244167912751,14.488007121390485,2.370321499087018,3371.715797947819,36.15999907087373,232.724609375,615.443359375,18.5662,5.0,5.0,0.0,0.0,20.06410437529837,0.08678474880694459
Pobeda,0305540501,L,P0305540501OMS008FSIMAGL000.FTZ,20.371185522321426,0.12807982131764262,0.1896731212881106,0.022374959919668095,569.0193638643318,67.12487975900429,3115.225391060114,20.777404786501346,3.073566084763967,2546.206027195782,34.024650734875486,122.546875,609.2822265625,18.5662,5.0,7.0,0.0,0.0,20.371185522321426,0.12807982131764262
Pobeda,0305540501,L,P0305540501OMS022FSIMAGL000.FTZ,20.509105710966384,0.14174721335876994,0.1670466288503685,0.02180861106246494,501.1398865511055,65.42583318739483,3098.6441401550546,21.89640874335614,2.9549252717078254,2597.504253603949,32.183864437279226,118.626953125,841.05859375,18.5662,5.0,9.0,0.0,0.0,20.509105710966384,0.14174721335876994
Pobeda,0305540501,L,P0305540501OMS021FSIMAGL000.FTZ,20.477120630587667,0.1402399696039606,0.1720409166164606,0.022221804303191522,516.1227498493818,66.66541290957457,3202.119070149958,21.297293233919675,2.9325055859539755,2685.9963203005764,32.93285253174482,126.119140625,868.0078125,18.5662,5.0,9.000000000000002,0.0,0.0,20.477120630587667,0.1402399696039606
Pobeda,0305540501,L,P0305540501OMS018FSIMAGL000.FTZ,20.25955811318339,0.1368397088104016,0.21021163723220387,0.026493824675070696,630.6349116966117,79.4814740252121,4387.075129305944,20.824823416085344,2.9782240162431273,3756.440217609332,39.99953461831046,180.3828125,873.8564453125,18.5662,8.0,9.0,0.0,0.0,20.25955811318339,0.1368397088104016
