observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,FITS_FILE,DECISION
0601391001,Joan,311.10928,-10.799758,311.30627,-10.784494,L,2,,N
0762520301,Boyan,135.95937,15.101158,136.18655,15.036995,L,2,,N
0099711101,Papadopoulos,61.992123,17.217712,62.227226,17.250393,L,2,,N
0744490501,Setsuko,339.06952,-12.540707,339.28516,-12.458349,L,2,,N
0723800701,1981 FT,181.07764,1.7639948,181.45999,1.5569856,L,4,,N
0744490401,Gurzhij,338.88007,-12.779612,339.32846,-12.523151,L,2,P0744490401OMS434SIMAGE2000.FTZ,D
0670120301,Chrisclark,343.52396,-17.824842,343.55606,-17.647392,L,2,,N
0670120401,Chrisclark,343.588,-17.584646,343.6382,-17.397612,L,2,P0670120401OMS413SIMAGE1000.FTZ,D
0728980201,Olausgutho,151.68561,12.850109,151.87369,12.78802,L,2,,N
0743950401,1988 RQ5,146.45583,9.835063,146.56332,9.789762,L,2,,N
0203170301,1998 YB12,187.92491,0.30781987,188.23128,0.18907033,L,2,P0203170301OMS430SIMAGE0000.FTZ,D
0672720101,Peterwisse,122.04476,20.886232,122.22666,20.854963,L,2,,N
0748190101,Sakaguchi,29.18564,5.722863,29.431702,5.8403807,L,2,,N
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,L,3,P0691840101OMS413SIMAGE1000.FTZ,D
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,L,3,P0691840101OMS414SIMAGE1000.FTZ,D
0653040101,1997 AS7,117.79315,17.637045,117.97252,17.61648,L,2,,N
0727770501,1988 XT1,329.2487,-30.297237,329.58374,-30.26509,L,2,,N
0790381401,Papacosmas,238.79326,10.96414,239.41899,11.206574,L,3,,N
0505240101,Gmelin,274.699,-14.965101,274.84357,-14.899362,L,2,,N
0147330101,Uwontario,351.17307,-11.98093,351.27444,-11.971677,L,4,P0147330101OMS414SIMAGE1000.FTZ,D
0128531201,2000 GV72,74.13671,20.341475,74.22982,20.364086,L,4,,N
0795712201,Larrywalker,266.85922,-20.186844,267.10077,-20.22155,L,2,,N
0111170101,Velichko,98.05292,17.6752,98.378746,17.70505,L,2,,N
0721010601,Mcdavid,261.6348,-14.369527,262.07504,-14.29039,L,2,,N
0802560101,Joannehsieh,184.87996,2.0475237,184.99066,2.0076375,L,4,P0802560101OMS009FSIMAGL000.FTZ,D
0744490601,1998 ED21,339.0996,-12.451734,339.3135,-12.372404,L,2,,N
0601391101,1999 RQ204,310.90546,-10.698597,311.092,-10.659884,L,2,,N
0201350101,1989 TQ,98.41339,17.684444,98.44322,17.684088,L,2,,N
0554680101,1996 VY4,198.25272,-16.015276,198.71022,-16.2376,L,4,,N
0743950501,Aakashshah,146.33344,10.014907,146.50879,9.944301,L,2,,N
0743950101,1991 GF9,146.28499,10.088432,146.54424,9.998545,L,2,,N
0106660101,1993 FQ7,333.6602,-17.787268,333.7527,-17.700247,L,2,,N
0106660201,1993 FQ7,333.7607,-17.693607,333.85336,-17.62511,L,2,P0106660201OMS415SIMAGE1000.FTZ,D
0721010501,Koirala,261.73932,-14.092635,262.03464,-14.169803,L,2,,N
0744440401,1999 TE296,191.5808,2.2761276,191.95499,2.180034,L,2,,N
0810400801,1999 VM186,63.12503,11.856241,63.13226,11.858645,L,4,,N
0781210301,2000 AQ200,63.447517,5.38491,63.713947,5.4863567,L,2,,N
0770380201,Xinwang,173.37413,0.68265545,173.42743,0.67117846,L,2,,N
0502120101,Ibuki,184.58986,5.7678843,185.04112,5.664891,L,3,,N
0782010101,1999 RS13,20.304707,0.99322623,20.596199,1.0542791,L,3,,N
0727761001,1999 VC7,284.14743,-37.93655,284.31512,-37.84939,L,2,,N
0136550101,1998 SF67,187.18503,2.0897768,187.3148,1.9964979,L,2,,N
0695290101,1998 HJ7,37.051876,-9.281893,37.5987,-9.002429,L,2,,N
0134921001,1998 QP33,58.228313,-0.05800175,58.298088,-0.003118889,L,2,,N
0803760401,Janemcdonald,213.29066,-19.99057,213.34889,-20.010534,L,2,,N
0126700301,2000 ET48,187.22325,1.9254593,187.3052,1.8966949,L,4,,N
0555870201,2000 FJ29,152.10477,12.207035,152.2489,12.141047,L,2,,N
0728990101,2000 FX29,123.32464,25.61281,123.625435,25.570929,L,4,,N
0092850201,2000 GZ176,324.05835,-14.727333,324.37668,-14.6114235,L,2,,N
0402070301,Henrylin,200.15645,-11.736624,200.41628,-11.835991,L,2,,N
0414380701,1999 JF80,63.186344,11.82884,63.192314,11.83644,L,2,,N
0601390201,2000 OH40,310.91385,-10.684556,310.9497,-10.689613,L,2,,N
0679380701,Yukitrippel,133.5546,20.093306,133.63747,20.081594,L,2,,N
0412600601,1992 SL23,283.8562,-37.82433,284.0473,-37.73278,L,3,,N
0804910101,1999 FJ31,270.7659,-34.484066,271.2585,-34.456245,L,3,,N
0601390801,Frydek-Mistek,310.8034,-10.691116,311.06976,-10.703463,L,2,,N
0692510101,1998 BL,187.69276,1.8543684,187.74214,1.820657,L,4,,N
0202460101,Scottobin,205.90794,0.13529314,205.9713,0.13145511,L,2,,N
0651610101,2001 QD48,194.01729,-5.784746,194.24014,-5.883782,L,2,,N
0560180601,2001 SB109,272.1981,-36.853653,272.39276,-36.78779,L,2,,N
0727760601,3163 T-3,284.04007,-37.906433,284.349,-37.96834,L,2,,N
0404840201,1992 PE2,157.36604,-3.1222258,157.47447,-3.1397705,L,2,,N
0303360101,1996 TL40,139.63681,21.216162,139.68225,21.215351,L,4,,N
0810840201,1998 GL1,283.92627,-37.86235,284.1176,-37.97713,L,2,,N
0144900101,Santini-Aichl,224.61525,-31.66555,224.65002,-31.728306,L,2,,N
0415180101,1999 UO5,284.00253,-37.98344,284.18924,-38.00156,L,2,,N
0820970401,2001 AS29,155.34515,18.002,155.3894,18.011118,L,4,,N
0675320101,1998 FG4,191.73123,2.276076,192.06998,2.2146008,L,2,,N
0743950201,1998 HE38,146.60158,9.901391,146.79933,9.81834,L,2,,N
0601390901,1998 MN34,310.9909,-10.5596285,311.30606,-10.497692,L,4,,N
