observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION
0148880101,Pesonen,143.07808,-11.071041,143.15459,-11.05193,L,2,P0148880101OMS408SIMAGE2000.FTZ,Y
0201902401,Richardbaum,312.04135,-17.95731,312.1351,-17.939861,L,2,P0201902401OMS404SIMAGE1000.FTZ,D
0203360701,2000 AE149,150.4127,2.501,150.47028,2.465165,L,2,,N
0300240101,Mucha,139.65082,16.330862,139.72375,16.316349,L,2,,N
0412592501,1996 UT,83.76607,21.908499,83.77202,21.908983,L,2,P0412592501OMS006FSIMAGL000.FTZ,D
0501270301,The,98.4076,17.725702,98.443306,17.726965,L,2,P0501270301OMS007FSIMAGL000.FTZ,D
0603980101,1999 UX35,3.351043,5.5268273,3.6045234,5.6390986,L,2,,N
0605990501,1998 FZ52,272.32047,-19.705824,272.3333,-19.702621,L,2,P0605990501OMS005FSIMAGL000.FTZ,D
0651770201,2000 EF85,183.88443,-11.879962,184.07118,-12.023704,L,2,,N
0670120401,Chrisclark,343.588,-17.584646,343.6382,-17.397612,L,2,,N
0673002335,Dowling,352.51404,-1.0533836,353.17795,-0.76529545,L,3,,N
0673002347,1981 EX26,351.8393,-0.87859577,352.49908,-0.5885451,L,3,,N
0677610140,1998 MN16,30.132433,-4.5725913,30.39163,-4.238744,L,4,,N
0691070301,Weisell,272.57022,-19.679125,272.59232,-19.69136,L,2,P0691070301OMS401SIMAGE1000.FTZ,D
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,L,3,,N
0692330401,Ivanka,112.18933,33.894558,112.34965,33.930218,L,2,P0692330401OMS007FSIMAGL000.FTZ,Y
0692330401,Ivanka,112.18933,33.894558,112.34965,33.930218,L,2,P0692330401OMS008FSIMAGL000.FTZ,Y
0700182001,Landi,322.27206,-7.793743,322.3754,-7.771864,L,2,P0700182001OMS008SIMAGE0000.FTZ,D
0720250801,1989 AJ,191.11758,-11.931116,191.16841,-11.946742,L,2,P0720250801OMS006SIMAGE1000.FTZ,D
0763090201,Ceres,312.09955,-23.997107,312.1985,-24.031803,L,2,8.64,10.1242,19.551699,,N
0781040101,Barbara,50.011715,0.46338347,50.32284,0.31945792,L,2,12.36,13.8442,20.696785,P0781040101OMS008FSIMAGL000.FTZ,Y
0781040101,Barbara,50.011715,0.46338347,50.32284,0.31945792,L,2,12.36,13.8442,20.696785,P0781040101OMX000LSIMAGL000.FTZ,Y
0781040101,Barbara,50.011715,0.46338347,50.32284,0.31945792,L,2,12.36,13.8442,20.696785,P0781040101OMX000OBSMLI0000.FTZ,Y
0407030101,Devosa,5.7436047,0.13561772,5.8105445,0.18230967,L,3,13.56,15.0442,20.216505,,N
0694510101,Siegena,212.15321,-3.086574,212.32036,-3.0783432,L,2,13.69,15.1742,19.852024,,N
0743010501,Ohio,346.1028,0.15892091,346.18143,0.14519955,L,4,15.56,17.0442,19.943396,,N
0803030301,Ada,257.42123,-24.233213,257.455,-24.233345,L,2,16.18,17.6642,20.112686,P0803030301OMS007FSIMAGL000.FTZ,Y
0803030301,Ada,257.42123,-24.233213,257.455,-24.233345,L,2,16.18,17.6642,20.112686,P0803030301OMS006FSIMAGL000.FTZ,Y
0302352401,Aaltje,149.75444,2.0376306,149.79918,2.0355196,L,2,14.8,16.2842,20.291054,P0302352401OMS404SIMAGE1000.FTZ,Y
0400890201,Tinette,253.26077,-39.867844,253.36403,-40.001247,L,3,17.44,18.9242,20.89806,P0400890201OMS409SIMAGE2000.FTZ,Y
0400890201,Tinette,253.26077,-39.867844,253.36403,-40.001247,L,3,17.44,18.9242,20.89806,P0400890201OMS412SIMAGE2000.FTZ,Y
0821871601,Transvaalia,342.0188,-22.215204,342.12317,-22.20173,L,2,15.22,16.7042,20.268137,P0821871601OMS006FSIMAGL000.FTZ,Y
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,L,2,15.63,17.1142,20.0592,P0303670101OMS413SIMAGE1000.FTZ,D
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,L,2,15.63,17.1142,20.0592,P0303670101OMS009SIMAGE1000.FTZ,D
0821730101,Hilaritas,1.9118078,0.80626416,1.9468724,0.8206579,L,2,17.08,18.5642,20.059668,P0821730101OMS006SIMAGE1000.FTZ,Y
0821730101,Hilaritas,1.9118078,0.80626416,1.9468724,0.8206579,L,2,17.08,18.5642,20.059668,P0821730101OMS403SIMAGE1000.FTZ,Y
0803952201,Reseda,180.29189,1.1510249,180.32097,1.1366216,L,4,17.08,18.5642,20.188965,,N
0012440101,Lictoria,13.996037,-1.4153179,14.078837,-1.363112,L,2,15.29,16.7742,19.364645,P0012440101OMS410SIMAGE1000.FTZ,Y
0763100101,Raissa,272.40103,-26.107971,272.77222,-26.094341,L,2,15.36,16.8442,20.521885,,N
0206490301,Africa,337.11896,-24.690794,337.21613,-24.680502,L,4,16.86,18.3442,20.077547,,N
0675470501,Ariane,332.7109,-12.227171,332.7691,-12.196121,L,2,16.84,18.3242,19.927706,P0675470501OMS401SIMAGE1000.FTZ,Y
0675470501,Ariane,332.7109,-12.227171,332.7691,-12.196121,L,2,16.84,18.3242,19.927706,P0675470501OMS402SIMAGE1000.FTZ,Y
0744500301,Deflotte,65.373856,19.482136,65.4893,19.49373,L,2,16.55,18.0342,20.455608,P0744500301OMS401SIMAGE2000.FTZ,Y
0744500301,Deflotte,65.373856,19.482136,65.4893,19.49373,L,2,16.55,18.0342,20.455608,P0744500301OMS007SIMAGE2000.FTZ,Y
0611181401,Solvejg,83.65524,21.986168,83.65861,21.987207,L,2,16.24,17.7242,20.075594,,N
0611181501,Solvejg,83.67155,21.989376,83.67962,21.988138,L,2,16.24,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,Y
0611181501,Solvejg,83.67155,21.989376,83.67962,21.988138,L,2,16.24,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,Y
