"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type";"v_mag_1";"v_mag_1_corrected";"mlim_obs"
"0763090201";Ceres;312.09955;-23.997107;312.1985;-24.031803;L;2;8.64;10.1242;19.551699
"0781040101";Barbara;50.011715;0.46338347;50.32284;0.31945792;L;2;12.36;13.8442;20.696785
"0407030101";Devosa;5.7436047;0.13561772;5.8105445;0.18230967;L;3;13.56;15.0442;20.216505
"0694510101";Siegena;212.15321;-3.086574;212.32036;-3.0783432;L;2;13.69;15.1742;19.852024
"0743010501";Ohio;346.1028;0.15892091;346.18143;0.14519955;L;4;15.56;17.0442;19.943396
"0803030301";Ada;257.42123;-24.233213;257.455;-24.233345;L;2;16.18;17.6642;20.112686
"0302352401";Aaltje;149.75444;2.0376306;149.79918;2.0355196;L;2;14.8;16.2842;20.291054
"0400890201";Tinette;253.26077;-39.867844;253.36403;-40.001247;L;3;17.44;18.9242;20.89806
"0821871601";Transvaalia;342.0188;-22.215204;342.12317;-22.20173;L;2;15.22;16.7042;20.268137
"0303670101";Seeligeria;215.06903;6.657949;215.11058;6.594688;L;2;15.63;17.1142;20.0592
"0821730101";Hilaritas;1.9118078;0.80626416;1.9468724;0.8206579;L;2;17.08;18.5642;20.059668
"0803952201";Reseda;180.29189;1.1510249;180.32097;1.1366216;L;4;17.08;18.5642;20.188965
"0012440101";Lictoria;13.996037;-1.4153179;14.078837;-1.363112;L;2;15.29;16.7742;19.364645
"0763100101";Raissa;272.40103;-26.107971;272.77222;-26.094341;L;2;15.36;16.8442;20.521885
"0206490301";Africa;337.11896;-24.690794;337.21613;-24.680502;L;4;16.86;18.3442;20.077547
"0675470501";Ariane;332.7109;-12.227171;332.7691;-12.196121;L;2;16.84;18.3242;19.927706
"0744500301";Deflotte;65.373856;19.482136;65.4893;19.49373;L;2;16.55;18.0342;20.455608
"0611181401";Solvejg;83.65524;21.986168;83.65861;21.987207;L;2;16.24;17.7242;20.075594
"0611181501";Solvejg;83.67155;21.989376;83.67962;21.988138;L;2;16.24;17.7242;20.580872
"0611181301";Solvejg;83.62468;21.971067;83.62883;21.973623;L;2;16.23;17.7142;19.626968
"0723801601";Cevenola;351.33566;-12.004662;351.69846;-11.964619;L;2;17.02;18.5042;20.185226
"0674480401";Potomac;211.0623;-1.7947428;211.08228;-1.7920687;L;2;16.23;17.7142;19.507391
"0740920301";Tampere;189.99167;-5.2425995;190.04404;-5.2669373;L;2;17.28;18.7642;19.431232
"0803952601";Joensuu;126.34115;31.908278;126.41946;31.915562;L;4;16.57;18.0542;20.111593
"0693990301";Vivian;169.74861;6.926413;169.98149;6.814373;L;2;17.4;18.8842;21.13498
"0405950101";Wells;171.26674;-13.057991;171.30545;-13.055931;L;2;16.55;18.0342;19.766872
"0801681301";Brouwer;267.38107;-28.530476;267.4505;-28.520363;L;2;16.59;18.0742;20.203415
"0741891201";Wright;273.11926;0.6451481;273.21085;0.64789516;L;2;15.96;17.4442;20.279844
"0747400101";Barbarossa;17.955683;-0.3202578;18.342957;-0.3368094;L;2;15.78;17.2642;20.29133
"0747390101";Barbarossa;15.857651;-0.3564057;16.290304;-0.33167773;L;2;15.88;17.3642;20.265905
"0305540501";Pobeda;246.701;-24.760162;246.98048;-24.853237;L;2;16.38;17.8642;21.516909
"0724840301";Boreas;175.1275;3.227399;175.16331;3.1943903;L;2;20.5;21.9842;20.692152
"0675470501";Tripaxeptalis;332.63937;-12.105701;332.71588;-12.064228;L;2;17.4;18.8842;19.927706
"0502290101";Ehrdni;7.367064;4.7339277;7.5903044;4.882423;L;2;17.27;18.7542;20.587307
"0804250301";Flagstaff;266.6556;-29.832102;266.75275;-29.849316;L;2;17.51;18.9942;20.047064
"0153450101";Coubertin;191.79004;-5.7145033;192.03386;-5.8043766;L;2;17.75;19.2342;19.581043
"0800400501";Sarpedon;137.51436;-0.7671195;137.53622;-0.744149;L;2;17.12;18.6042;20.12307
"0700182001";Landi;322.27206;-7.793743;322.3754;-7.771864;L;2;17.22;18.7042;20.549442
"0600450901";Tokai;74.0676;22.680155;74.19661;22.677528;L;2;16.66;18.1442;19.603882
"0744440301";Lipschutz;191.58722;2.5241559;192.09926;2.315665;L;2;17.02;18.5042;20.213953
"0601391001";Joan;311.10928;-10.799758;311.30627;-10.784494;L;2;17.35;18.8342;19.539156
"0670300301";Burns;288.43982;-21.332952;288.52097;-21.316727;L;2;18.48;19.9642;19.780638
