observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,B,2,15.63,16.2328,20.571766
0012440101,Lictoria,13.996037,-1.4153179,14.078837,-1.363112,B,2,15.29,15.8928,20.148102
0804250301,Flagstaff,266.6556,-29.832102,266.75275,-29.849316,B,2,17.51,18.1128,21.041977
0110980101,Lucubratio,170.06161,13.668645,170.25316,13.580854,B,2,17.14,17.7428,20.673128
0803161101,Asteropaios,159.3042,-2.5558047,159.30394,-2.567429,B,2,18.04,18.6428,20.414433
0300240101,Mucha,139.65082,16.330862,139.72375,16.316349,B,2,17.62,18.2228,20.457355
0744490401,Gurzhij,338.88007,-12.779612,339.32846,-12.523151,B,2,18.26,18.8628,21.032633
0670120401,Chrisclark,343.588,-17.584646,343.6382,-17.397612,B,2,18.13,18.7328,21.147049
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,B,3,19.01,19.6128,21.214529
0793183801,Pluto,290.5976,-21.208502,290.59418,-21.210587,B,2,14.66,15.2628,20.252254
