slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,246.47308670591963,208.23414699530713,13.0,-0.2708007369554751,7.0,13.0,6.0,0.4071290359879348,0.014072905726791617,0.41910529435573096,0.01711929042644286,1.029416370018254,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
2,174.73572545858144,90.76537703851373,13.0,-0.2708007369554751,7.0,13.0,6.0,0.22520557209903286,0.012028147070510522,0.2413888835737553,0.015299853593399129,1.0718601734579014,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
3,251.5081557615519,84.94228131744535,13.0,-0.2708007369554751,7.0,13.0,6.0,2.9662877714115607,0.0292298137421691,3.0811593722795534,0.031249684481707094,1.0387257102884961,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
4,153.74142717291645,276.21838937073016,13.0,-0.2708007369554751,7.0,13.0,6.0,0.07968139574068712,0.011455203294978247,0.07307175322864239,0.01549203996351445,0.9170491122726443,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
5,129.73855411722064,328.89902976165325,13.0,-0.2708007369554751,7.0,13.0,6.0,0.08471823501612376,0.010867640316510035,0.07415717342472129,0.014538913740090708,0.875338979980019,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
1,246.47308670591963,208.23414699530713,13.0,-0.2502789668489978,5.0,13.0,6.0,0.38581408783129517,0.012819941395550146,0.41930506322949374,0.017128837334401136,1.0868059940124404,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
2,174.73572545858144,90.76537703851373,13.0,-0.2502789668489978,5.0,13.0,6.0,0.21326187560061557,0.010739952422741832,0.24114091990637393,0.015288400109424345,1.1307268081894235,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
3,251.5081557615519,84.94228131744535,13.0,-0.2502789668489978,5.0,13.0,6.0,2.8081244006531123,0.02802718939874419,3.080737880203136,0.03125611440172433,1.0970802716171049,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
4,173.496499223823,270.5451191027405,13.0,-0.2502789668489978,5.0,13.0,6.0,2.0876613804736706,0.024790610077263613,2.2904850614725207,0.028548105418319897,1.097153534043357,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
5,153.74142717291645,276.21838937073016,13.0,-0.2502789668489978,5.0,13.0,6.0,0.08120948438741758,0.009889181565932841,0.07540594927333376,0.015495511347386835,0.9285362398510314,,P0303561001OMS007SIMAGE0000.FTZ,0303561001,L,Fredtreasure
