slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,738.1653876606838,797.6606703321983,13.0,2.9441970937399162,6.0,13.0,5.999999999999998,3.866863528566294,0.02900220827471399,4.119418774189589,0.03137454389781754,1.0653126865630385,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
2,724.616672806948,878.383870474544,13.0,2.9441970937399162,6.0,13.0,5.999999999999998,1.3978191913140732,0.018519098868151736,1.4789473233460284,0.021091164104425505,1.0580390743925097,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
3,602.6090586308834,956.0862754511832,13.0,2.9441970937399162,6.0,13.0,5.999999999999998,2.1457444739617797,0.022201668463848488,2.2679105521016596,0.024565952606825724,1.0569341222230062,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
4,569.7945593917002,896.7577170487608,13.0,2.9441970937399162,6.0,13.0,5.999999999999998,0.7726359945061497,0.014660142089325506,0.8209926860793952,0.017488001060429005,1.0625866409500555,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
5,866.6048681643363,889.7055311695444,13.0,2.9441970937399162,6.0,13.0,5.999999999999998,0.7336795405836226,0.014464185727029016,0.7908898389915596,0.017455651319908526,1.0779772301711286,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
1,738.1653876606838,797.6606703321983,13.0,-0.2639637236257059,6.0,13.0,6.0,3.865497545265968,0.028997309482068558,4.120019497082735,0.031381473915036255,1.0658445514028272,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
2,748.6575846282626,658.3364358693742,13.0,-0.2639637236257059,6.0,13.0,6.0,0.8018667615564024,0.014910641825784447,0.8521682705611523,0.017776205547166277,1.0627305076308637,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
3,717.415326827142,598.6860179877659,13.0,-0.2639637236257059,6.0,13.0,6.0,0.9390425268126699,0.015903833337338014,0.9909129252812275,0.01879123035423005,1.0552375392886815,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
4,565.0492712083969,767.5160109240971,13.0,-0.2639637236257059,6.0,13.0,6.0,1.2814996815915582,0.017948532579940772,1.3602989958482983,0.0206558506700214,1.0614899210578619,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
5,632.3986587718522,789.7768458481119,13.0,-0.2639637236257059,6.0,13.0,6.0,0.27097276539892,0.010962371896172874,0.267574949671457,0.014462752361809841,0.9874606744243806,,P0692330401OMS007FSIMAGL000.FTZ,0692330401,L,Ivanka
