slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,275.6806364170209,501.19463150806297,13.0,-2.352210447526491,8.0,13.0,6.000000000000001,3.882706602758611,0.04630859550700311,3.97542371338523,0.04832232135611611,1.023879504714764,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
2,327.4643838627159,622.6461976514839,13.0,-2.352210447526491,8.0,13.0,6.000000000000001,0.34320431959810344,0.018929717818121847,0.3572365624651985,0.022362626290386402,1.0408859739397425,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
3,167.12763119948397,866.9860465418685,13.0,-2.352210447526491,8.0,13.0,6.000000000000001,3.219106089521832,0.042679757178733964,3.3099420818913337,0.044933390946170326,1.0282177691083783,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
4,100.84673161819615,797.0294895701934,13.0,-2.352210447526491,8.0,13.0,6.000000000000001,0.734421890649503,0.02374297017973086,0.7697812681442207,0.026870402611895484,1.0481458654009437,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
5,335.39330602607833,187.50124022464445,13.0,-2.352210447526491,8.0,13.0,6.000000000000001,0.39648664024573443,0.019675048055211034,0.41137473455317686,0.023021915774734083,1.037550052880004,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
1,469.58819306366786,193.01395086328114,13.0,-2.3136669555725646,8.0,13.0,5.999999999999999,3.3701745481479164,0.04347353396885457,3.464077142492053,0.045637523388564735,1.027862828171835,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
2,496.357318489031,218.24911068194848,13.0,-2.3136669555725646,8.0,13.0,5.999999999999999,0.9556846725918169,0.025860396431270832,0.9746673314554326,0.028547792224953215,1.019862889306506,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
3,167.12763119948397,866.9860465418685,13.0,-2.3136669555725646,8.0,13.0,5.999999999999999,3.2172389254095366,0.04267203734084715,3.30665858264259,0.04492098832388053,1.0277939125151143,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
4,100.84673161819615,797.0294895701934,13.0,-2.3136669555725646,8.0,13.0,5.999999999999999,0.7349832381820282,0.02374751797916039,0.7695509509491882,0.02686810562676707,1.0470319742973497,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
5,275.6806364170209,501.19463150806297,13.0,-2.3136669555725646,8.0,13.0,5.999999999999999,3.8809395813549123,0.04631421269753787,3.9717478438740588,0.04833378942324384,1.0233985251807098,,P0303670101OMS413SIMAGE1000.FTZ,0303670101,L,Seeligeria
