slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,634.5105780857887,442.8231599536963,13.0,0.5404195002705862,8.0,13.0,5.999999999999999,3.5508030093240786,0.029854464767446843,3.6443630400408815,0.03239094187151722,1.026348978096257,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
2,675.5023782709612,414.2762650077912,13.0,0.5404195002705862,8.0,13.0,5.999999999999999,3.369537943968971,0.028487520851629467,3.455207251181839,0.03050130294940776,1.0254246453482456,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
3,766.1363313952506,481.00506478014375,13.0,0.5404195002705862,8.0,13.0,5.999999999999999,2.750375890238144,0.026490844154271873,2.8063370548308413,0.028802607784851317,1.0203467332561047,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
4,446.8848344598765,394.799072453357,13.0,0.5404195002705862,8.0,13.0,5.999999999999999,0.29990797805211333,0.013263215316950442,0.3093589165598967,0.01613699815029635,1.031512794588416,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
5,580.6476490112898,779.3455288400013,13.0,0.5404195002705862,8.0,13.0,5.999999999999999,6.844254296803032,0.03893992778686932,6.9793513286915605,0.040652726641288606,1.0197387510793736,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
1,1007.9512925047732,908.8249966690558,13.0,-2.7295708633525533,7.0,13.0,5.999999999999999,14.691759688146448,0.05547277319903771,15.22753278322927,0.05771948929658871,1.0364675917967194,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
2,857.6555101173179,846.9402887953113,13.0,-2.7295708633525533,7.0,13.0,5.999999999999999,6.0260629264891366,0.03643561988258606,6.207706069858535,0.03861284903907002,1.0301429217691933,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
3,808.9169821563862,766.3346258185757,13.0,-2.7295708633525533,7.0,13.0,5.999999999999999,0.673279867868669,0.015287452598082058,0.6977629842797114,0.01831244065999757,1.036363951425647,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
4,796.7475531071078,714.2569884843736,13.0,-2.7295708633525533,7.0,13.0,5.999999999999999,1.7853152844189386,0.021487865982191948,1.840446991423399,0.02399966424235799,1.030880655918657,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
5,871.2943434507943,700.233369908919,13.0,-2.7295708633525533,7.0,13.0,5.999999999999999,0.5759417334488593,0.014601674308428696,0.6121596910273657,0.017749035407485115,1.062884759820452,,P0611181501OMS007FSIMAGL000.FTZ,0611181501,L,Solvejg
