# Screening-like rows
observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION
0802200801,Naef,165.403118400,10.398305080,165.411205470,10.394935576,L,2,17.63,19.1142,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Osaka,164.915450260,9.864736751,164.926690498,9.862579293,L,2,18.38,19.8642,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2000 WE103,164.814518558,9.350702994,164.827346976,9.348561557,L,2,19.01,20.4942,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1999 XF1,165.347593596,10.489507414,165.359536567,10.486989970,L,2,19.07,20.5542,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2000 ER70,165.628801095,9.448806137,165.655692610,9.460532270,L,2,19.37,20.8542,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1998 SM135,165.115485209,9.934489399,165.126662280,9.930859997,L,2,19.54,21.0242,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Piyasiri,164.858835701,9.714830035,164.870476316,9.711103021,L,2,19.56,21.0442,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1997 CX19,165.886388713,9.993285455,165.899669984,9.987764554,L,2,19.80,21.2842,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Dius,165.838688614,10.189810710,165.842342983,10.188769445,L,2,19.88,21.3642,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Marcks,165.277510727,9.675824505,165.285511788,9.673676873,L,2,19.89,21.3742,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Palus,165.087461988,9.901475585,165.094315468,9.899843821,L,2,19.89,21.3742,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2001 BL9,165.352317776,10.527398687,165.363394357,10.522148245,L,2,20.00,21.4842,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2000 EU126,164.753635061,10.091938169,164.760978153,10.089760836,L,2,20.03,21.5142,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1999 UE48,165.566987354,10.347591053,165.576098460,10.343693952,L,2,20.07,21.5542,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1999 NP64,164.790372685,10.560016960,164.797337962,10.559038859,L,2,20.08,21.5642,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2000 QK100,165.043750887,9.960975932,165.046663834,9.960272531,L,2,20.17,21.6542,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1997 WT21,165.700960024,9.523967508,165.707879854,9.521707637,L,2,20.25,21.7342,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1986 RE5,165.085997388,10.461786068,165.092146717,10.458832647,L,2,20.50,21.9842,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2000 JU36,164.497016759,9.748892386,164.509032258,9.744516267,L,2,20.52,22.0042,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2005 AV45,165.684332351,10.344366780,165.687743540,10.343630527,L,2,20.52,22.0042,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2001 EL7,165.191206520,9.939385255,165.199594771,9.937173747,L,2,20.53,22.0142,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2003 AR35,164.732808780,10.287438723,164.741312165,10.285622444,L,2,20.53,22.0142,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1998 XC47,164.587626528,10.090990983,164.595297217,10.088509624,L,2,20.54,22.0242,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2001 SX114,165.181481671,10.343809976,165.193976013,10.339190271,L,2,20.54,22.0242,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Lambeaux,165.447365609,9.378631231,165.455439304,9.375645524,L,2,20.55,22.0342,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1998 SR136,165.871251398,10.056965683,165.879358021,10.054729085,L,2,20.59,22.0742,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Aaronenten,165.182213735,9.771356424,165.191768309,9.769034814,L,2,20.61,22.0942,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2000 DR107,164.983974279,9.746680625,164.992301536,9.743363951,L,2,20.67,22.1542,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2000 AJ29,165.296335213,9.541312559,165.309001964,9.537246852,L,2,20.70,22.1842,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Kurpfalz,164.799728097,9.392318673,164.807651078,9.389872703,L,2,20.70,22.1842,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2000 AB69,165.464193017,10.433236720,165.474103989,10.430964802,L,2,20.78,22.2642,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2001 FL129,165.383875158,10.553806916,165.394353405,10.550373344,L,2,20.80,22.2842,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Mnajdra,165.206657490,9.560662889,165.213658147,9.558474395,L,2,20.81,22.2942,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2004 BF73,165.454525605,9.630830858,165.460217127,9.630573658,L,2,20.85,22.3342,,P0802200801OMS403SIMAGE2000.FTZ,D
