observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION,dra_arcsec,ddec_arcsec,trail_len_arcsec,pa_deg_E_of_N,obs_len_diff_arcsec,obs_pa_diff_deg,obs_mid_dist_arcsec,score_simple
0802200801,2015 PU39,165.115453238,9.955195082,165.123159426,9.954164943,L,2,23.27,24.7542,,P0802200801OMS403SIMAGE2000.FTZ,D,27.325,-3.709,27.575,97.729,33.724,83.679,87.154,572.994
0802200801,2014 KT2,165.115511367,9.968293561,165.122991623,9.966336098,L,2,22.24,23.7242,,P0802200801OMS403SIMAGE2000.FTZ,D,26.522,-7.047,27.443,104.879,33.856,90.829,93.931,615.788
0802200801,2019 PG86,165.161950602,9.950285455,165.168976798,9.948051315,L,2,24.37,25.8542,,P0802200801OMS403SIMAGE2000.FTZ,D,24.914,-8.043,26.180,107.892,35.119,93.841,82.485,621.928
0802200801,1998 SM135,165.115485209,9.934489399,165.126662280,9.930859997,L,2,19.54,21.0242,,P0802200801OMS403SIMAGE2000.FTZ,D,39.634,-13.066,41.732,108.245,19.566,94.195,119.790,629.897
0802200801,2001 EL7,165.191206520,9.939385255,165.199594771,9.937173747,L,2,20.53,22.0142,,P0802200801OMS403SIMAGE2000.FTZ,D,29.745,-7.961,30.792,104.985,30.507,90.934,195.642,711.327
0802200801,2007 DX123,165.075466336,9.931576467,165.088096096,9.927284906,L,2,22.28,23.7642,,P0802200801OMS403SIMAGE2000.FTZ,D,44.786,-15.450,47.376,109.033,13.923,94.982,241.589,744.346
0802200801,Palus,165.087461988,9.901475585,165.094315468,9.899843821,L,2,19.89,21.3742,,P0802200801OMS403SIMAGE2000.FTZ,D,24.305,-5.874,25.005,103.587,36.294,89.537,277.078,797.351
0802200801,2023 RU132,165.203765388,10.000314553,165.209939334,9.997959685,L,2,25.60,27.0842,,P0802200801OMS403SIMAGE2000.FTZ,D,21.889,-8.478,23.473,111.172,37.826,97.121,269.642,830.900
0802200801,2019 NJ39,165.045587139,9.930537145,165.055564189,9.928203802,L,2,23.48,24.9642,,P0802200801OMS403SIMAGE2000.FTZ,D,35.379,-8.400,36.363,103.356,24.936,89.306,345.356,841.757
0802200801,2008 YJ139,165.218257410,9.877584690,165.228404534,9.875374900,L,2,23.37,24.8542,,P0802200801OMS403SIMAGE2000.FTZ,D,35.988,-7.955,36.857,102.465,24.442,88.414,405.505,896.461
0802200801,2000 QK100,165.043750887,9.960975932,165.046663834,9.960272531,L,2,20.17,21.6542,,P0802200801OMS403SIMAGE2000.FTZ,D,10.329,-2.532,10.634,103.775,50.664,89.725,349.556,899.510
0802200801,2014 HK10,165.121113597,10.060863051,165.129058455,10.058427246,L,2,22.88,24.3642,,P0802200801OMS403SIMAGE2000.FTZ,D,28.162,-8.769,29.495,107.295,31.803,93.245,374.143,903.975
0802200801,2005 GX172,165.134550619,10.068031075,165.144001084,10.065017414,L,2,21.62,23.1042,,P0802200801OMS403SIMAGE2000.FTZ,D,33.498,-10.849,35.211,107.946,26.088,93.895,393.338,914.991
0802200801,2012 TB90,165.165870960,9.857419422,165.172328472,9.855408100,L,2,23.89,25.3742,,P0802200801OMS403SIMAGE2000.FTZ,D,22.904,-7.241,24.021,107.544,37.278,93.493,374.345,916.367
0802200801,2009 DC156,165.264524885,9.953473118,165.273353319,9.951037840,L,2,23.05,24.5342,,P0802200801OMS403SIMAGE2000.FTZ,D,31.304,-8.767,32.509,105.645,28.790,91.595,444.325,959.881
0802200801,1999 TX222,165.043845638,10.048109206,165.052128089,10.046540726,L,2,21.02,22.5042,,P0802200801OMS403SIMAGE2000.FTZ,D,29.360,-5.647,29.898,100.886,31.401,86.836,469.194,966.177
0802200801,2006 SV19,165.033638290,10.055782797,165.040223622,10.054342653,L,2,23.43,24.9142,,P0802200801OMS403SIMAGE2000.FTZ,D,23.343,-5.185,23.912,102.522,37.387,88.472,516.825,1033.958
