target_name,observation_id,filter,fits_name,mag_ab,mag_err,mag_ab_apcorr,mag_ab_apcorr_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,tds_corr,c2,c2_err,f_apcorr,f_apcorr_err,apcorr_mag,apcorr_mag_err,c1,c1_err,c1_detail_csv,coi_factor,rate_bkg_6,rate_bkg_6_coi,rate_tot_6,rate_tot_6_coi,count_rate_coi,count_rate_coi_err,count_rate_final,count_rate_final_err,count_rate_final_apcorr,count_rate_final_apcorr_err,v_mag_1,v_mag_1_corrected,mlim_obs
Fredtreasure,0303561001,L,P0303561001OMS007SIMAGE0000.FTZ,19.719285992126135,0.08486107906058513,19.719285992126135,0.08486107906058513,0.2651310073924004,0.01847428693738987,1034.0109288303615,72.04971905582049,4696.577077739872,14.392327108244965,2.496852639672491,3662.5661489095105,22.239265686681076,254.48046875,816.3076171875,18.5662,5.0,6.0,0.0,1.0577484369278,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0970802716171049,0.015232643976675562,/Users/eracero/workspace/tfm-viu/results/batch_L/elena/c1corr/c1_details_Fredtreasure_P0303561001OMS007SIMAGE0000.csv,1.045882527979771,2.441710765939674,2.5323684979912713,2.7325807635438455,2.836584346398992,0.30421584840772065,0.021625494282160544,0.3457527182533833,0.02702401758725194,0.3457527182533833,0.02702401758725194,16.43,17.9142,20.256231
Barbara,0781040101,L,P0781040101OMS008FSIMAGL000.FTZ,15.86103586241622,0.035972193376979246,15.86103586241622,0.035972193376979246,8.86698285628722,0.054851444069922546,39901.42285329249,246.83149831465147,55758.339535662904,16.335068381256935,2.561048376836294,15856.916682370416,71.88497078383557,970.728515625,1196.0654296875,18.5662,13.0,6.0,0.0,1.13721549510956,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.114924969993686,3.5237592627489813,3.6516836909184573,12.390742119036203,13.537704285899016,9.88602059498056,0.06402894150165309,12.079964417377541,0.40022879964276153,12.079964417377541,0.40022879964276153,12.36,13.8442,20.696785
Barbara,0781040101,L,P0781040101OMS010FSIMAGL000.FTZ,15.909267381346048,0.03602224686165871,15.909267381346048,0.03602224686165871,8.488869503274127,0.054548191740490345,38199.91276473357,245.46686283220654,54623.09055205714,17.458896109557237,2.726619533502248,16423.177787323573,75.03925770307282,940.6767578125,1168.2958984375,18.5662,13.0,6.0,0.0,1.13721811771393,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.1139816689200328,3.6495950638496826,3.7848054141333014,12.13846456712381,13.241250430634983,9.456445016501682,0.06343912158387219,11.555082417423892,0.3833713088147169,11.555082417423892,0.3833713088147169,12.36,13.8442,20.696785
Ada,0803030301,L,P0803030301OMS007FSIMAGL000.FTZ,19.3158955368397,0.10810561536057894,19.3158955368397,0.10810561536057894,0.3876266387827648,0.036433588197055784,1162.8799163482945,109.30076459116735,9598.718558561057,19.795767293486204,2.994121297780818,8435.838642212762,48.45553200257661,426.1435546875,693.3681640625,18.5662,13.0,6.0,0.0,1.14538526535034,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0508850225146558,2.811946214070921,2.90226013330859,3.1995728528536858,3.309611162333096,0.40735102902450615,0.03833911920109781,0.5013277967267844,0.04991669242109708,0.5013277967267844,0.04991669242109708,16.18,17.6642,20.112686
Ada,0803030301,L,P0803030301OMS006FSIMAGL000.FTZ,18.933474558029754,0.07283684443752086,18.933474558029754,0.07283684443752086,0.5320536712701859,0.026367982368373268,1596.1610138105575,79.1039471051198,5617.273126961663,20.06382623969055,3.0181783306608834,4021.112113151106,25.301409459710516,200.416015625,571.564453125,18.5662,7.0,6.000000000000002,0.0,1.14538431167603,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0389989878547623,0.03240224252831883,/Users/eracero/workspace/tfm-viu/results/batch_L/elena/c1corr/c1_details_Ada_P0803030301OMS006FSIMAGL000.csv,1.048013801812103,2.4892598795697323,2.5645236082128937,3.042063105503866,3.14386901867812,0.5793454104652263,0.03400254683416153,0.7130010621039324,0.04783183706191125,0.7130010621039324,0.04783183706191125,16.18,17.6642,20.112686
Aaltje,0302352401,L,P0302352401OMS404SIMAGE1000.FTZ,18.565370694830577,0.048992230148177815,18.565370694830577,0.048992230148177815,0.8398641160488334,0.026243508945497273,3258.6727702694734,101.82481470852942,9127.272474888712,14.605744882730336,2.2709341838479897,5868.599704619239,35.228119670763554,401.80078125,670.890625,18.5662,13.0,6.0,0.0,1.06515407562256,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0411394121732669,1.5125256970668142,1.5630745959390762,2.3523898131156473,2.437490228027579,0.8744156320885028,0.027378784406537078,1.0007641100717353,0.04515799937063043,1.0007641100717353,0.04515799937063043,14.8,16.2842,20.291054
Transvaalia,0821871601,L,P0821871601OMS006FSIMAGL000.FTZ,17.87730739730142,0.04288761178680922,17.87730739730142,0.04288761178680922,1.337193280403132,0.026838516983272893,6685.96640201566,134.19258491636447,16167.344895426184,20.931007552489312,3.172155696085898,9481.378493410524,42.898775636485254,452.982421875,1121.9716796875,18.5662,6.0,6.0,0.0,1.14652824401855,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.066871148297062,0.010459152041094774,/Users/eracero/workspace/tfm-viu/results/batch_L/elena/c1corr/c1_details_Transvaalia_P0821871601OMS006FSIMAGL000.csv,1.073160679041043,4.10859734714456,4.272022635822806,5.5352102777033645,5.803007537110025,1.5309849012872192,0.034389928973029,1.8860666728773827,0.07450143982552304,1.8860666728773827,0.07450143982552304,15.22,16.7042,20.268137
#Transvaalia,0821871601,L,P0821871601OMS006FSIMAGL000.FTZ,17.80795111248628,0.04471673507025207,17.80795111248628,0.04471673507025207,1.5185142560758396,0.038237590348100675,7592.571280379198,191.18795174050337,28525.892600506544,21.1337826786801,3.151241630204799,20933.321320127347,89.59319332528837,990.5146484375,1213.7666015625,18.5662,13.0,6.0,0.0,1.14652824401855,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0747180626934674,4.1866642640254685,4.355145574154121,5.705178520101308,5.987120273616359,1.631974699462238,0.04130220456203067,2.010479064193829,0.0828028725931937,2.010479064193829,0.0828028725931937,15.22,16.7042,20.268137
Hilaritas,0821730101,L,P0821730101OMS006SIMAGE1000.FTZ,21.168197692421653,0.2690821692695279,21.168197692421653,0.2690821692695279,0.07156306663778689,0.01757960268734323,257.6270398960328,63.28656967443563,3387.4099828721955,15.475121842624773,2.7111854985495905,3129.7829429761628,24.85517890269551,202.24609375,486.681640625,18.5662,13.0,6.0,0.0,1.14712369441986,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0320490874707389,0.8693841508267118,0.894288823699452,0.9409472174644987,0.9681454213195876,0.07385659762013563,0.01814617335100924,0.09103343344643955,0.02256116933381701,0.09103343344643955,0.02256116933381701,17.08,18.5642,20.059668
Hilaritas,0821730101,L,P0821730101OMS403SIMAGE1000.FTZ,20.32046555177826,0.1645760548088467,20.32046555177826,0.1645760548088467,0.15607494666224056,0.023096512734419837,561.869807984066,83.14744584391141,5638.321106161922,15.32730495274722,2.653552338877449,5076.451298177856,35.70961557065909,331.203125,605.72265625,18.5662,13.0,6.0,0.0,1.14712572097778,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0331138667204238,1.4101253606049602,1.44548050817209,1.5662003072672008,1.6067236998165013,0.16124319164441125,0.023873138731943595,0.19874388693687375,0.03012563351445118,0.19874388693687375,0.03012563351445118,17.08,18.5642,20.059668
