target_name,observation_id,filter,fits_name,mag_ab,mag_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,tds_corr,c2,f_apcorr,c1,coi_factor,rate_tot_6,rate_tot_6_coi,count_rate_coi,count_rate_final,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,apcorr_mag,mag_ab_apcorr,mag_ab_apcorr_err,v_mag_1,v_mag_1_corrected,mlim_obs
2015 GO27,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2010 FW86,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
1999 RU103,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2007 QD17,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2007 BP44,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2009 VB35,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2015 EV21,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2002 TW76,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2012 QJ54,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2009 BQ31,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2020 DB13,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2016 RA108,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2008 YM189,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2002 TM360,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2010 AU39,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2014 AN27,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2008 UT274,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2020 QR75,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
Kawanotomoyoshi,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2020 JG38,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2015 DJ231,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2000 AT195,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2006 OM31,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2016 NR102,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2007 JX17,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2011 FS106,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2015 KP333,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2011 HT38,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2020 GA4,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2012 TH269,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2011 CH42,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2007 CK65,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
1998 RN65,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2012 TR71,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2013 GS66,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2002 AV30,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2014 WX562,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2009 BS161,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2008 OX29,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2004 FN77,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
1997 XF5,0673002335,L,P0673002335OMS409SIMAGE0000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
