target_name,observation_id,filter,fits_name,mag_ab,mag_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,tds_corr,c2,f_apcorr,c1,coi_factor,rate_tot_6,rate_tot_6_coi,count_rate_coi,count_rate_final,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,apcorr_mag,mag_ab_apcorr,mag_ab_apcorr_err,v_mag_1,v_mag_1_corrected,mlim_obs
Palus,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2000 QK100,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2001 EL7,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
Aaronenten,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
1999 TX222,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2005 GX172,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2002 EY141,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2014 KT2,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2007 DX123,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2013 ET47,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2005 TE14,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2014 HK10,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2009 DC156,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2015 PU39,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2008 YJ139,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2006 SV19,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2008 HL43,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2019 NJ39,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2006 KJ45,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2012 TB90,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2016 SF91,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2019 PG86,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2024 UE58,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2022 QG162,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
2023 RU132,0802200801,L,P0802200801OMS403SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,,
