family,N,mean_V,mean_UVW1_AB,mean_UVW1_minus_V,std_UVW1_minus_V,sem_UVW1_minus_V,weighted_mean_UVW1_minus_V,weighted_mean_UVW1_minus_V_err
C,5,17.50133333333333,20.331982849537813,2.8306495162044776,0.28928945096300523,0.12937417550537433,3.0966304367832564,0.031574192087390526
S,6,16.2,19.7422620747076,3.5422620747076023,0.6022435035820444,0.245864880780337,3.4050019486027323,0.02445174566808167
X,5,17.35,20.60341796627653,3.2534179662765306,0.2810906483958092,0.12570755953050433,3.184941525199289,0.07354139462698585
D,2,16.509999999999998,19.69533876766691,3.185338767666913,0.3771311020061303,0.2666719596248903,3.266687163490218,0.08343791478856215
V,1,17.67,20.83722407147347,3.16722407147347,nan,nan,3.16722407147347,0.3085621250072043
B,3,17.198333333333334,20.26424611036946,3.0659127770361287,0.13259331499518281,0.07655278610521364,3.023198603933714,0.07037071444037848
L,1,12.36,15.88309033711856,3.5230903371185605,nan,nan,3.5230903371185605,0.025446380958533334
K,2,17.63,20.99135722283994,3.361357222839942,0.09907642860070492,0.07005761451930326,3.354459088542577,0.21000080741205715
OTHER,5,16.332,19.227446004133803,2.8954460041338033,0.16428881980134874,0.07347219380380585,2.9155127107595393,0.027564779022070853
UNK,4,16.4175,19.904493908541475,3.4869939085414727,0.2472502613522555,0.12362513067612775,3.363283647308237,0.009358139428956006
