observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION,dra_arcsec,ddec_arcsec,trail_len_arcsec,pa_deg_E_of_N,frame_t1,frame_t2,exposure_s,horizons_location,horizons_id_used,skybot_radius_arcmin,sep_start_arcsec_from_frame_center,sep_end_arcsec_from_frame_center
0700182001,2023 QA11,322.365020000,-7.716420000,322.377190000,-7.712780000,L,2,22.980,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,43.415,13.104,45.350,73.205,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2023 QA11,10.000,22.695,68.028
0700182001,2008 TJ4,322.342820000,-7.704950000,322.357810000,-7.699600000,L,2,23.371,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,53.477,19.260,56.840,70.193,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2008 TJ4,10.000,73.906,66.183
0700182001,2015 DH202,322.418810000,-7.713750000,322.431890000,-7.707570000,L,2,23.338,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,46.662,22.248,51.695,64.509,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2015 DH202,10.000,214.438,263.235
0700182001,2013 TR281,322.274740000,-7.742210000,322.284640000,-7.737410000,L,2,23.178,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,35.315,17.280,39.316,63.927,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2013 TR281,10.000,312.490,273.837
0700182001,Landi,322.305240000,-7.785760000,322.317720000,-7.782970000,L,2,17.304,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,44.514,10.044,45.633,77.285,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,Landi,10.000,310.085,276.235
0700182001,2008 RW80,322.380990000,-7.804530000,322.391620000,-7.799210000,L,2,21.554,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,37.914,19.152,42.476,63.200,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2008 RW80,10.000,321.519,315.008
0700182001,2002 NK4,322.318310000,-7.620010000,322.331860000,-7.616610000,L,2,20.901,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,48.349,12.240,49.875,75.794,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2002 NK4,10.000,381.115,377.337
0700182001,2008 VP70,322.385190000,-7.832160000,322.394240000,-7.828340000,L,2,23.628,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,32.276,13.752,35.084,66.922,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2008 VP70,10.000,421.736,416.953
0700182001,2015 BE35,322.321570000,-7.837570000,322.332970000,-7.831320000,L,2,23.241,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,40.657,22.500,46.468,61.039,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2015 BE35,10.000,450.676,418.423
0700182001,2006 BD149,322.458380000,-7.642050000,322.470630000,-7.636690000,L,2,22.015,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,43.709,19.296,47.778,66.180,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2006 BD149,10.000,448.066,494.602
0700182001,1992 TH1,322.292340000,-7.591300000,322.308220000,-7.588500000,L,2,16.939,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,56.667,10.080,57.557,79.914,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,1992 TH1,10.000,514.014,499.824
0700182001,2003 SL78,322.373690000,-7.561570000,322.395420000,-7.553300000,L,2,21.141,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,77.548,29.772,83.067,68.997,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2003 SL78,10.000,565.472,606.951
0700182001,2009 TA33,322.251560000,-7.581860000,322.266260000,-7.575570000,L,2,22.870,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,52.458,22.644,57.136,66.652,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2009 TA33,10.000,621.759,609.821
0700182001,2021 RB151,299.769780000,-13.067470000,299.776310000,-13.064730000,L,2,24.861,18.7042,20.549442,P0700182001OMS008SIMAGE0000.FTZ,N,22.899,9.864,24.934,66.696,2012-05-02T12:49:31.000,2012-05-02T14:02:51.000,4400.000,@XMM,2021 RB151,10.000,82224.425,82200.037
