observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION,dra_arcsec,ddec_arcsec,trail_len_arcsec,pa_deg_E_of_N,frame_t1,frame_t2,exposure_s,horizons_location,horizons_id_used,skybot_radius_arcmin,sep_start_arcsec_from_frame_center,sep_end_arcsec_from_frame_center
0611181301,2007 VK37,83.592660000,22.010350000,83.596920000,22.011150000,L,2,22.146,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,14.218,2.880,14.507,78.549,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2007 VK37,10.000,161.971,147.589
0611181301,2007 TM155,83.680010000,22.051910000,83.682080000,22.052240000,L,2,22.093,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,6.907,1.188,7.008,80.240,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2007 TM155,10.000,169.210,175.558
0611181301,2016 GG154,83.590860000,22.050510000,83.594060000,22.052330000,L,2,22.323,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,10.677,6.552,12.527,58.465,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2016 GG154,10.000,184.544,178.953
0611181301,Solvejg,83.624860000,21.971130000,83.625890000,21.971780000,L,2,16.747,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,D,3.439,2.340,4.159,55.765,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,Solvejg,10.000,198.323,195.269
0611181301,2002 JD102,83.615070000,22.113010000,83.617030000,22.113750000,L,2,21.534,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,6.537,2.664,7.059,67.828,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2002 JD102,10.000,327.453,328.542
0611181301,2016 FE35,83.740900000,22.026520000,83.743400000,22.026960000,L,2,23.873,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,8.343,1.584,8.492,79.250,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2016 FE35,10.000,341.293,349.667
0611181301,2014 NO8,83.630500000,22.137360000,83.631090000,22.137990000,L,2,24.540,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,1.967,2.268,3.002,40.941,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2014 NO8,10.000,406.432,408.569
0611181301,2007 TF39,83.723080000,21.941530000,83.726000000,21.942420000,L,2,22.550,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,9.751,3.204,10.263,71.810,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2007 TF39,10.000,411.238,415.689
0611181301,2020 HM59,83.687970000,21.897200000,83.689940000,21.898580000,L,2,24.096,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,6.580,4.968,8.245,52.948,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2020 HM59,10.000,487.694,485.302
0611181301,2016 AM62,83.707390000,22.155600000,83.710590000,22.155360000,L,2,21.812,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,10.669,-0.864,10.704,94.630,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2016 AM62,10.000,524.015,528.003
0611181301,2001 NM5,83.554730000,22.148150000,83.556350000,22.149570000,L,2,21.631,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,5.402,5.112,7.437,46.578,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2001 NM5,10.000,525.196,526.690
0611181301,2015 RS13,83.797770000,22.054290000,83.799240000,22.054840000,L,2,23.112,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,N,4.905,1.980,5.289,68.017,2012-02-23T17:34:45.000,2012-02-23T18:04:51.000,1806.000,@XMM,2015 RS13,10.000,541.538,546.736
0611181501,Solvejg,83.675760000,21.989050000,83.677770000,21.988630000,L,2,16.764,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,6.710,-1.512,6.878,102.699,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,Solvejg,10.000,164.999,170.665
0611181501,2019 TV58,83.612130000,22.095130000,83.618510000,22.097790000,L,2,23.158,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,21.281,9.576,23.336,65.773,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2019 TV58,10.000,278.682,280.795
0611181501,2005 WT118,83.560200000,21.943970000,83.567400000,21.943190000,L,2,20.434,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,24.042,-2.808,24.206,96.662,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2005 WT118,10.000,395.950,381.752
0611181501,2007 YC67,83.651620000,22.148160000,83.659870000,22.146190000,L,2,21.912,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,27.509,-7.092,28.408,104.457,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2007 YC67,10.000,451.355,446.982
0611181501,2002 JD102,83.714910000,22.128030000,83.719080000,22.126890000,L,2,21.551,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,13.906,-4.104,14.499,106.442,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2002 JD102,10.000,448.281,452.520
0611181501,2005 LZ31,83.680000000,21.899050000,83.683380000,21.900090000,L,2,22.410,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,11.290,3.744,11.895,71.653,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2005 LZ31,10.000,463.555,463.139
0611181501,2014 NO8,83.656800000,22.155050000,83.657650000,22.154680000,L,2,24.553,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,2.834,-1.332,3.131,115.173,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2014 NO8,10.000,477.507,476.472
0611181501,2015 TG200,83.485740000,22.026910000,83.498520000,22.023390000,L,2,22.284,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,42.650,-12.672,44.493,106.547,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2015 TG200,10.000,523.743,480.917
0611181501,2007 TM155,83.786350000,22.044340000,83.790840000,22.042140000,L,2,22.114,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,14.982,-7.920,16.947,117.862,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2007 TM155,10.000,485.707,499.362
0611181501,2015 YC27,83.545510000,22.137750000,83.552220000,22.136420000,L,2,22.721,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,22.375,-4.788,22.882,102.078,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2015 YC27,10.000,524.807,507.435
0611181501,2000 YC42,83.545760000,21.903040000,83.559870000,21.902840000,L,2,20.290,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,47.129,-0.720,47.135,90.875,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2000 YC42,10.000,539.700,513.467
0611181501,2016 GG154,83.757890000,22.118970000,83.765110000,22.119920000,L,2,22.343,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,24.079,3.420,24.321,81.916,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2016 GG154,10.000,516.811,537.189
0611181501,2021 PO144,83.475580000,22.037310000,83.480350000,22.036620000,L,2,24.592,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,15.917,-2.484,16.110,98.870,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2021 PO144,10.000,559.801,543.725
0611181501,2003 SP379,83.529740000,21.906450000,83.533670000,21.905790000,L,2,24.080,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,N,13.126,-2.376,13.340,100.260,2012-02-24T22:08:17.000,2012-02-24T23:31:37.000,5000.000,@XMM,2003 SP379,10.000,564.155,557.274
