observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION
0802200801,Palus,165.087461988,9.901475585,165.094315468,9.899843821,L,2,19.89,21.3742,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2000 QK100,165.043750887,9.960975932,165.046663834,9.960272531,L,2,20.17,21.6542,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2001 EL7,165.191206520,9.939385255,165.199594771,9.937173747,L,2,20.53,22.0142,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,Aaronenten,165.182213735,9.771356424,165.191768309,9.769034814,L,2,20.61,22.0942,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,1999 TX222,165.043845638,10.048109206,165.052128089,10.046540726,L,2,21.02,22.5042,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2005 GX172,165.134550619,10.068031075,165.144001084,10.065017414,L,2,21.62,23.1042,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2002 EY141,165.249369825,10.089724665,165.256275504,10.087056127,L,2,21.71,23.1942,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2014 KT2,165.115511367,9.968293561,165.122991623,9.966336098,L,2,22.24,23.7242,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2007 DX123,165.075466336,9.931576467,165.088096096,9.927284906,L,2,22.28,23.7642,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2013 ET47,165.101832466,9.810078193,165.108384047,9.806871356,L,2,22.31,23.7942,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2005 TE14,165.248801452,10.104806688,165.257069439,10.100988040,L,2,22.40,23.8842,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2014 HK10,165.121113597,10.060863051,165.129058455,10.058427246,L,2,22.88,24.3642,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2009 DC156,165.264524885,9.953473118,165.273353319,9.951037840,L,2,23.05,24.5342,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2015 PU39,165.115453238,9.955195082,165.123159426,9.954164943,L,2,23.27,24.7542,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2008 YJ139,165.218257410,9.877584690,165.228404534,9.875374900,L,2,23.37,24.8542,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2006 SV19,165.033638290,10.055782797,165.040223622,10.054342653,L,2,23.43,24.9142,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2008 HL43,164.986042756,9.895284387,164.999133312,9.890767219,L,2,23.46,24.9442,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2019 NJ39,165.045587139,9.930537145,165.055564189,9.928203802,L,2,23.48,24.9642,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2006 KJ45,165.268042008,9.853164648,165.275549884,9.850863943,L,2,23.62,25.1042,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2012 TB90,165.165870960,9.857419422,165.172328472,9.855408100,L,2,23.89,25.3742,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2016 SF91,165.130940485,10.137326935,165.138870670,10.134009052,L,2,23.94,25.4242,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2019 PG86,165.161950602,9.950285455,165.168976798,9.948051315,L,2,24.37,25.8542,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2024 UE58,164.967108079,10.022216256,164.975011958,10.018959327,L,2,24.56,26.0442,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2022 QG162,165.086175081,10.092163759,165.094592834,10.089299688,L,2,25.23,26.7142,,P0802200801OMS403SIMAGE2000.FTZ,D
0802200801,2023 RU132,165.203765388,10.000314553,165.209939334,9.997959685,L,2,25.60,27.0842,,P0802200801OMS403SIMAGE2000.FTZ,D0802200801,1998 SM135,165.115485209,9.934489399,165.126662280,9.930859997,L,2,19.54,21.0242,99.0,P0802200801OMS403SIMAGE2000.FTZ,Y
0802200801,1998 SM135,165.115485209,9.934489399,165.126662280,9.930859997,L,2,19.54,21.0242,99.0,P0802200801OMS403SIMAGE2000.FTZ,Y
