observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,FITS_FILE,DECISION
0300780301,Eurykleia,208.49994,-12.358425,208.53297,-12.386605,M,2,P0300780301OMS406SIMAGE1000.FTZ,D
0694510101,Siegena,212.15321,-3.086574,212.32036,-3.0783432,M,2,P0694510101OMS416SIMAGE1000.FTZ,D
0743010501,Ohio,346.1028,0.15892091,346.18143,0.14519955,M,4,,N
0821871601,Transvaalia,342.0188,-22.215204,342.12317,-22.20173,M,2,,N
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,M,2,P0303670101OMS417SIMAGE1000.FTZ,D
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,M,2,P0303670101OMS010SIMAGE1000.FTZ,D
0601930101,Aralia,164.6615,1.6720549,164.7188,1.6429683,M,2,,N
0763100101,Raissa,272.40103,-26.107971,272.77222,-26.094341,M,2,,N
0206490301,Africa,337.11896,-24.690794,337.21613,-24.680502,M,4,,N
0723801601,Cevenola,351.33566,-12.004662,351.69846,-11.964619,M,2,,N
0500070401,Angola,180.47174,-18.814947,180.59314,-18.883535,M,2,,N
0405950101,Wells,171.26674,-13.057991,171.30545,-13.055931,M,2,,N
0801681301,Brouwer,267.38107,-28.530476,267.4505,-28.520363,M,2,,N
0502290101,Ehrdni,7.367064,4.7339277,7.5903044,4.882423,M,2,,N
0804250301,Flagstaff,266.6556,-29.832102,266.75275,-29.849316,M,2,,N
0800400501,Sarpedon,137.51436,-0.7671195,137.53622,-0.744149,M,2,,N
0700182001,Landi,322.27206,-7.793743,322.3754,-7.771864,M,2,,N
0600450901,Tokai,74.0676,22.680155,74.19661,22.677528,M,2,,N
0744440301,Lipschutz,191.58722,2.5241559,192.09926,2.315665,M,2,P0744440301OMS414SIMAGE2000.FTZ,D
0761921001,Pasacentennium,130.57472,19.055004,130.76286,18.942633,M,2,,N
0654910901,Dobermann,146.39177,-14.390894,146.60173,-14.522552,M,4,,N
0200811301,Bonestell,67.92034,18.209873,67.95753,18.217718,M,2,,N
0201290101,Jones,160.02733,-5.107199,160.077,-5.116174,M,2,,N
0200920101,Nefertiti,187.79323,12.733284,187.68793,12.406681,M,2,,N
0722190101,Svetlov,258.03354,-39.65441,258.39084,-39.804283,M,2,,N
0720280201,Huangpu,267.17926,-23.676878,267.2397,-23.67421,M,2,,N
0827010801,Wuyeesun,173.17644,14.64386,173.23834,14.600553,M,2,,N
0723802101,Chopin,10.146284,-9.4725275,10.456929,-9.431454,M,2,,N
0692510201,Quaide,142.18173,18.831175,142.26836,18.820974,M,2,,N
0671170101,Phystech,274.0832,-24.203712,274.3147,-24.184448,M,2,,N
0160961101,Kaneko,83.75912,21.930658,83.77619,21.93473,M,2,,N
0136550101,Milone,187.13156,2.2099533,187.24306,2.188103,M,4,,N
0831790901,Kihara,244.96785,-15.692846,245.47302,-15.743361,M,2,,N
0556212301,Amenemhet,223.67499,1.7319185,223.70604,1.7113348,M,2,,N
0300240101,Mucha,139.65082,16.330862,139.72375,16.316349,M,2,,N
0109661401,Bentengahama,26.098818,-4.507673,26.243004,-4.5135283,M,2,,N
0501270301,The,98.4076,17.725702,98.443306,17.726965,M,2,,N
0202730101,Kiyosato,155.41478,21.647322,155.5116,21.582262,M,4,,N
0801681001,1991 TS4,267.11047,-30.018438,267.23462,-29.993216,M,2,,N
0761920901,Yonosuke,129.54683,20.07836,129.70357,20.030313,M,2,,N
0302580701,Chesneau,326.4374,4.212535,326.50232,4.446862,M,4,,N
0112370801,Nishimura,34.777752,-5.2152123,34.917595,-5.234906,M,2,,N
0200810501,Okegaya,67.961525,18.267242,68.00964,18.28205,M,2,,N
0692330401,Ivanka,112.18933,33.894558,112.34965,33.930218,M,2,,N
0745060801,Komatsubara,270.59274,-20.148483,270.67206,-20.150215,M,2,,N
0748190101,Sakaguchi,29.18564,5.722863,29.431702,5.8403807,M,2,,N
0744420101,1988 RK,276.50055,-12.987444,277.10837,-13.1154175,M,2,,N
0784401201,Jepejacobsen,126.58924,26.702383,126.680244,26.69026,M,2,,N
0303561001,Fredtreasure,192.5848,-23.538895,192.62386,-23.529533,M,2,,N
0555220101,Fujimimachi,329.76236,-20.07108,329.95755,-19.928568,M,2,,N
0764180201,1986 UP,250.3352,-53.80415,250.59325,-53.756405,M,2,,N
0203850201,1981 ET34,278.77045,-7.6540136,278.87457,-7.677327,M,2,,N
0801683501,1991 VQ1,267.9454,-29.261082,268.08115,-29.263638,M,4,,N
0200910101,1998 RE2,63.51323,11.20443,63.556854,11.2442665,M,2,,N
0655381201,Janapittichova,40.553112,28.784683,40.718357,28.740934,M,4,,N
0605580301,Katsuyoshi,288.93832,-24.16808,289.0415,-24.175924,M,2,,N
0503490201,2000 QP27,340.26392,-9.828102,340.9033,-9.585472,M,3,,N
0202680101,1992 AJ1,263.4019,-26.090881,263.9407,-26.11427,M,2,,N
0800400601,2002 VU94,132.69304,-0.0530325,132.63905,0.059902195,M,2,P0800400601OMS411SIMAGE1000.FTZ,D
0821250601,2000 VR36,35.834774,-3.5124807,36.041664,-3.298255,M,2,,N
0791580601,2008 CB137,284.30682,-37.993492,284.33133,-38.003433,M,3,,N
0402360101,2006 BQ6,27.57514,32.197796,20.135792,33.51657,M,3,,N
0791580401,2001 RN43,283.15677,-38.097775,283.2113,-38.122963,M,1,,N
0784400701,2017 GM4,127.55588,25.862612,121.21376,28.33513,M,1,,N
