#WITH base AS (SELECT DISTINCT observation_id, target_name FROM sso.photometry_output_nuv) SELECT x.observation_id, x.sso_name, x.ra_deg_1, x.dec_deg_1, x.ra_deg_2, x.dec_deg_2, x.filter, x.xmatch_type, x.v_mag_1, x.v_mag_1_corrected, x.mlim_obs FROM base b JOIN sso.xmm_om_unique x ON x.observation_id = b.observation_id AND x.sso_name = b.target_name WHERE x.filter = 'U';
observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs
0781040101,Barbara,50.011715,0.46338347,50.32284,0.31945792,U,2,12.36,13.1039,21.136883
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,U,2,15.63,16.3739,20.33347
0674480401,Potomac,211.0623,-1.7947428,211.08228,-1.7920687,U,2,16.23,16.9739,19.880312
0740920301,Tampere,189.99167,-5.2425995,190.04404,-5.2669373,U,2,17.28,18.0239,19.80576
0804250301,Flagstaff,266.6556,-29.832102,266.75275,-29.849316,U,2,17.51,18.2539,20.455643
0800400501,Sarpedon,137.51436,-0.7671195,137.53622,-0.744149,U,2,17.12,17.8639,20.455399
0700182001,Landi,322.27206,-7.793743,322.3754,-7.771864,U,2,17.22,17.9639,20.584862
0300240101,Mucha,139.65082,16.330862,139.72375,16.316349,U,2,17.62,18.3639,19.967377
0501270301,The,98.4076,17.725702,98.443306,17.726965,U,2,17.44,18.1839,19.959929
0302580701,Chesneau,326.4374,4.212535,326.50232,4.446862,U,4,16.43,17.1739,20.268064
0744490401,Gurzhij,338.88007,-12.779612,339.32846,-12.523151,U,2,18.26,19.0039,20.562262
0670120401,Chrisclark,343.588,-17.584646,343.6382,-17.397612,U,2,18.13,18.8739,20.41104
0692330401,Ivanka,112.18933,33.894558,112.34965,33.930218,U,2,17.66,18.4039,20.670336
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,U,3,19.01,19.7539,20.736847
0303561001,Fredtreasure,192.5848,-23.538895,192.62386,-23.529533,U,2,16.43,17.1739,20.468206
0793183801,Pluto,290.5976,-21.208502,290.59418,-21.210587,U,2,14.66,15.4039,19.706821
