"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type";"v_mag_1";"v_mag_1_corrected";"mlim_obs"
"0781040101";Barbara;50.011715;0.46338347;50.32284;0.31945792;U;2;12.36;13.1039;21.136883
"0694510101";Siegena;212.15321;-3.086574;212.32036;-3.0783432;U;2;13.69;14.4339;20.216595
"0793183801";Pluto;290.5976;-21.208502;290.59418;-21.210587;U;2;14.66;15.4039;19.706821
"0763100101";Raissa;272.40103;-26.107971;272.77222;-26.094341;U;2;15.36;16.1039;20.067808
"0303670101";Seeligeria;215.06903;6.657949;215.11058;6.594688;U;2;15.63;16.3739;20.33347
"0402360101";"2006 BQ6";27.57514;32.197796;20.135792;33.51657;U;3;15.85;16.5939;21.346113
"0674480401";Potomac;211.0623;-1.7947428;211.08228;-1.7920687;U;2;16.23;16.9739;19.880312
"0303561001";Fredtreasure;192.5848;-23.538895;192.62386;-23.529533;U;2;16.43;17.1739;20.468206
"0302580701";Chesneau;326.4374;4.212535;326.50232;4.446862;U;4;16.43;17.1739;20.268064
"0206490301";Africa;337.11896;-24.690794;337.21613;-24.680502;U;4;16.86;17.6039;20.348133
"0723802101";Chopin;10.146284;-9.4725275;10.456929;-9.431454;U;2;16.88;17.6239;20.61976
"0744440301";Lipschutz;191.58722;2.5241559;192.09926;2.315665;U;2;17.02;17.7639;20.584269
"0081340801";Stepanov;183.3527;2.7053835;183.43324;2.687358;U;2;17.07;17.8139;19.801174
"0112370801";Nishimura;34.777752;-5.2152123;34.917595;-5.234906;U;2;17.08;17.8239;19.971117
"0800400501";Sarpedon;137.51436;-0.7671195;137.53622;-0.744149;U;2;17.12;17.8639;20.455399
"0109661401";Bentengahama;26.098818;-4.507673;26.243004;-4.5135283;U;2;17.13;17.8739;20.8838
"0700182001";Landi;322.27206;-7.793743;322.3754;-7.771864;U;2;17.22;17.9639;20.584862
"0744490601";Lynn;339.1378;-12.76845;339.3338;-12.6299095;U;2;17.26;18.0039;20.003674
"0740920301";Tampere;189.99167;-5.2425995;190.04404;-5.2669373;U;2;17.28;18.0239;19.80576
"0202730101";Kiyosato;155.41478;21.647322;155.5116;21.582262;U;4;17.31;18.0539;20.683249
"0601391001";Joan;311.10928;-10.799758;311.30627;-10.784494;U;2;17.35;18.0939;19.949541
"0501270301";The;98.4076;17.725702;98.443306;17.726965;U;2;17.44;18.1839;19.959929
"0804250301";Flagstaff;266.6556;-29.832102;266.75275;-29.849316;U;2;17.51;18.2539;20.455643
"0300240101";Mucha;139.65082;16.330862;139.72375;16.316349;U;2;17.62;18.3639;19.967377
"0674370201";Zurich;136.79945;14.870546;137.15027;14.62544;U;2;17.63;18.3739;20.49462
"0552860101";Nantong;163.64049;-5.6709156;163.65152;-5.7537227;U;2;17.65;18.3939;20.629602
"0692330401";Ivanka;112.18933;33.894558;112.34965;33.930218;U;2;17.66;18.4039;20.670336
"0136550101";Milone;187.13156;2.2099533;187.24306;2.188103;U;4;17.83;18.5739;20.782543
"0748190101";Sakaguchi;29.18564;5.722863;29.431702;5.8403807;U;2;17.97;18.7139;20.67868
"0137550501";Vermeer;83.65883;21.961323;83.72975;21.956732;U;2;18.04;18.7839;20.096966
"0203170301";"1998 YB12";187.92491;0.30781987;188.23128;0.18907033;U;2;18.09;18.8339;20.192116
"0206060101";"1993 UB3";358.62137;5.807186;358.73996;5.87392;U;2;18.1;18.8439;20.667925
"0670120301";Chrisclark;343.52396;-17.824842;343.55606;-17.647392;U;2;18.11;18.8539;20.417128
"0099711101";Papadopoulos;61.992123;17.217712;62.227226;17.250393;U;2;18.13;18.8739;19.669945
"0670120401";Chrisclark;343.588;-17.584646;343.6382;-17.397612;U;2;18.13;18.8739;20.41104
"0106660601";"1994 UF2";333.67758;-17.729109;333.97568;-17.536524;U;3;18.14;18.8839;20.706322
"0203450201";"1941 UN";330.77777;-19.121084;330.98447;-19.069593;U;2;18.15;18.8939;20.007973
"0763100101";Silentium;272.7718;-26.247627;273.2145;-26.200418;U;2;18.2;18.9439;20.067808
"0402750301";Kazo;35.189392;19.843588;35.319942;19.906958;U;2;18.21;18.9539;19.933899
"0653840401";Grotius;24.866716;6.2479367;24.930931;6.264997;U;4;18.23;18.9739;20.081049
"0744490401";Gurzhij;338.88007;-12.779612;339.32846;-12.523151;U;2;18.26;19.0039;20.562262
"0727571501";Lomberg;58.48386;-0.17843609;58.72201;-0.27030504;U;2;18.28;19.0239;19.969458
"0723800701";"1981 FT";181.07764;1.7639948;181.45999;1.5569856;U;4;18.35;19.0939;20.462341
"0744490501";"1990 SF3";338.75604;-12.678126;339.02414;-12.574529;U;4;18.4;19.1439;20.04738
"0790381401";Papacosmas;238.79326;10.96414;239.41899;11.206574;U;3;18.42;19.1639;20.874763
"0762520301";Boyan;135.95937;15.101158;136.18655;15.036995;U;2;18.46;19.2039;20.423294
"0740920501";Doctorwatson;189.88533;-5.271374;189.93896;-5.2959714;U;2;18.52;19.2639;19.835173
"0206060201";Vanavara;144.86998;14.974762;144.96599;14.948397;U;2;18.53;19.2739;20.522253
"0744490501";Setsuko;339.06952;-12.540707;339.28516;-12.458349;U;2;18.59;19.3339;20.04738
"0742570101";"1990 QT9";130.41615;19.432549;130.51274;19.403906;U;2;18.65;19.3939;20.229889
"0801830101";"1993 VA2";245.44939;-23.087105;245.59093;-23.1473;U;2;18.65;19.3939;20.074585
"0727770501";"1988 XT1";329.2487;-30.297237;329.58374;-30.26509;U;2;18.72;19.4639;20.34552
"0693820201";"2000 RX67";197.61902;-1.358278;197.81927;-1.4117829;U;2;18.74;19.4839;20.722448
"0743950401";"1988 RQ5";146.45583;9.835063;146.56332;9.789762;U;2;18.75;19.4939;20.744473
"0653040101";"1997 AS7";117.79315;17.637045;117.97252;17.61648;U;2;18.76;19.5039;21.122065
"0083000301";Govert;170.57037;5.6782594;170.67413;5.6551113;U;4;18.79;19.5339;19.77124
"0503490201";Naruke;340.5789;-9.6971855;340.80582;-9.601553;U;2;18.81;19.5539;21.650782
"0748190101";Wubbena;28.992863;5.590003;29.11837;5.6450605;U;2;18.81;19.5539;20.67868
"0744490401";"1986 TX3";339.2398;-12.453829;339.78464;-12.192947;U;2;18.88;19.6239;20.562262
"0691840101";Guericke;333.35062;-17.186514;333.76288;-16.972826;U;3;19.01;19.7539;20.736847
"0164570401";"1998 QN30";229.01411;-16.056402;229.29297;-16.143436;U;2;19.08;19.8239;20.078388
"0206340101";Onioshidashi;133.22516;16.150879;133.34258;16.099432;U;2;19.12;19.8639;20.18153
"0206060201";Alfredfowler;145.102;14.821389;145.21744;14.776098;U;2;19.17;19.9139;20.522253
"0780760201";"1999 TW207";42.33431;42.2853;42.590015;42.18258;U;4;19.18;19.9239;20.598068
"0672720101";Peterwisse;122.04476;20.886232;122.22666;20.854963;U;2;19.22;19.9639;20.694849
"0651450101";Loschmidt;268.32962;-27.779692;268.55115;-27.77536;U;3;19.29;20.0339;20.01726
"0200730301";Schommer;20.24715;3.7326322;20.335382;3.7652805;U;4;19.31;20.0539;20.036541
"0740920201";"1998 VW34";190.00467;-5.2815495;190.0631;-5.306633;U;2;19.34;20.0839;19.78788
"0305970101";"1999 NQ41";270.95087;-27.765928;271.5013;-27.7238;U;3;19.42;20.1639;20.852262
