slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,181.52911455398413,372.0058443092402,19.208657110360946,2.546523029884252,7.0,13.0,6.0,8.766380681971047,0.08449811995268311,9.060012216922562,0.09967636071335383,1.0334951841134847,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
2,384.15940299400603,548.6552552574308,19.208657110360946,2.546523029884252,7.0,13.0,6.0,0.41690510778745304,0.06003415142247547,0.811928030169335,0.0811948556639434,1.9475127912879229,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
3,266.18112718907827,342.0592211652299,19.208657110360946,2.546523029884252,7.0,13.0,6.0,1.1828166806925238,0.05892832714478588,1.2659937758404263,0.07819125758841015,1.0703212057334222,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
4,240.82383852916882,283.4008953754362,19.208657110360946,2.546523029884252,7.0,13.0,6.0,0.2271796918605819,0.05525105382069669,0.33572184206889255,0.0766861545024665,1.4777810433642193,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
5,219.74686724653344,261.2254982231288,19.208657110360946,2.546523029884252,7.0,13.0,6.0,0.19081870792114958,0.056609868953716634,0.26530717855037217,0.07666730013037962,1.3903625144553586,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
1,181.52911455398413,372.0058443092402,13.0,2.5602124697848923,5.0,13.0,6.000000000000002,8.410001644687634,0.07285922679757025,8.95663553834093,0.08958972121009288,1.064998072146465,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
2,266.18112718907827,342.0592211652299,13.0,2.5602124697848923,5.0,13.0,6.000000000000002,1.090582387297586,0.04259890636039515,1.1581045842659783,0.06450010092471083,1.0619138890879296,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
3,219.74686724653344,261.2254982231288,13.0,2.5602124697848923,5.0,13.0,6.000000000000002,0.13963677390708557,0.03745430525582462,0.23954229549478703,0.06191131069654914,1.7154671279800455,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
4,240.82383852916882,283.4008953754362,13.0,2.5602124697848923,5.0,13.0,6.000000000000002,0.24383419222017777,0.03805333600461387,0.33608541814615717,0.06215028792876908,1.3783358891794726,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
5,139.48065420774236,411.93602590736043,13.0,2.5602124697848923,5.0,13.0,6.000000000000002,0.2786789365152808,0.03875756411307174,0.4115026072512269,0.06350492521672878,1.4766189809564705,,P0744490401OMS411SIMAGE2000.FTZ,0744490401,V,Gurzhij
