target_name,observation_id,filter,fits_name,mag_ab,mag_err,mag_ab_apcorr,mag_ab_apcorr_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,tds_corr,c2,f_apcorr,apcorr_mag,c1,c1_err,c1_detail_csv,coi_factor,rate_bkg_6,rate_tot_6,rate_tot_6_coi,count_rate_coi,count_rate_final,v_mag_1,v_mag_1_corrected,mlim_obs
Cevenola,0723801601,V,P0723801601OMS006FSIMAGV000.FTZ,16.263284463601686,0.030518330710540307,16.263284463601686,0.030518330710540307,1.6959589936742923,0.09963106066183888,6783.835974697169,398.52424264735555,79417.2437556535,28.02051172642901,3.4758933570931907,72633.40778095633,176.96876604075808,2592.1513671875,1688.2294921875,17.923,25.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1468702824355865,18.158351945239083,19.854310938913375,22.770319194075537,4.611967248836454,4.611967248836454,17.02,17.0674,19.878323
Lipschutz,0744440301,V,P0744440301OMS402SIMAGE2000.FTZ,16.221837151662772,0.030112069660796856,16.221837151662772,0.030112069660796856,1.7588564862612521,0.11181774360105667,7352.020112572034,467.3981682524169,114522.79676128924,116.64412494038426,7.927324922426212,107170.7766487172,240.28873637245817,918.7841796875,1148.265625,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1106867563335363,25.638941781989764,27.397798268251016,30.4303716892443,4.791429907254535,4.791429907254535,17.02,17.0674,19.886965
Lipschutz,0744440301,V,P0744440301OMS401SIMAGE2000.FTZ,15.809099365941794,0.023909722044369468,15.809099365941794,0.023909722044369468,2.0033651505598504,0.11103471894248595,8374.066329340174,464.1251251795913,113279.24779012054,114.59482280082898,7.873914424326716,104905.18146078037,238.23560108662554,915.4443359375,1145.0185546875,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.184650689947944,25.096933363823055,27.100298514382906,32.104387332858956,7.0074539690359,7.0074539690359,17.02,17.0674,19.886965
Nishimura,0112370801,V,P0112370801OMS402SIMAGE1000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joan,0601391001,V,P0601391001OMS402SIMAGE2000.FTZ,17.318643822122826,0.07229228958204716,17.318643822122826,0.07229228958204716,1.1111636231513076,0.10477942916076095,1666.7454347269613,157.16914374114143,14744.763231467456,46.67546215381652,4.864898782641893,13078.017796740494,81.43300431303535,280.1904296875,558.6328125,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0644591831114065,8.71867853116033,9.829842154311638,10.463465749692634,1.744787218532304,1.744787218532304,17.35,17.3974,19.320482
Quaide,0692510201,V,P0692510201OMS006FSIMAGV000.FTZ,16.272384653208125,0.031046279798364284,16.272384653208125,0.031046279798364284,0.7089073348014266,0.09640570131004525,3544.536674007133,482.02850655022627,113709.29504035413,165.37884306369867,10.152044833180897,110164.758366347,262.0202733667116,666.1357421875,914.8935546875,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1699318365287485,22.032951673269398,22.741859008070826,26.606424875390164,4.573473202120766,4.573473202120766,17.74,17.7874,19.919678
Myrtus,0135742601,V,P0135742601OMS402SIMAGE1000.FTZ,17.636967386563494,0.10472071355952049,17.636967386563494,0.10472071355952049,0.8704335004292187,0.11536655268438513,853.0248304206343,113.05922163069742,7664.911339841783,40.32053425847268,4.7012289411886075,6811.886509421149,61.105733817747044,168.943359375,455.9375,17.923,13.0,6.000000000000001,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.055102236374797,6.950904601450151,7.82133810187937,8.252311322736332,1.301406721286181,1.301406721286181,17.95,17.9974,18.995802
Sakaguchi,0748190101,V,P0748190101OMS006FSIMAGV000.FTZ,16.719161319456784,0.040106860582225325,16.719161319456784,0.040106860582225325,0.9856339032719418,0.08992576469346278,3745.408832433379,341.71790583515855,63308.00054744631,85.77460843199617,6.655836262285909,59562.59171501293,175.39210919938813,694.408203125,941.01171875,17.923,13.0,5.9999999999999964,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.12274993417567,15.674366240792878,16.66000014406482,18.705014065115428,3.03064782432255,3.03064782432255,17.97,18.0174,20.009413
Lomberg,0727571501,V,P0727571501OMS008FSIMAGV000.FTZ,18.682532966265008,0.06639649326612547,18.682532966265008,0.06639649326612547,0.3158509867805574,0.024932395636998714,1854.3611433886526,146.37809478481944,13594.89439417608,31.635815949619566,3.794292456103785,11740.533250787428,73.09458314072565,371.115234375,796.6787109375,17.923,8.0,6.0,0.0,1.0,1.0,1.0,0.0,1.151543918367773,0.04981644600778949,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_Lomberg_P0727571501OMS008FSIMAGV000.csv,1.036833176285143,3.249594027002141,3.613310309939752,3.7464000055586872,0.4968059785565462,0.4968059785565462,18.28,18.3274,20.990757
An-Eefje,0103261901,V,P0103261901OMS401SIMAGE1000.FTZ,16.602204047385257,0.06360855621990738,16.602204047385257,0.06360855621990738,1.180247120324011,0.1595721820221806,1416.2965443888133,191.4866184266167,21705.536553610116,56.64974797256594,5.161631892368423,20289.240009221303,97.68343609561035,358.15234375,630.5908203125,17.923,13.0,6.000000000000002,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1213570290042563,16.90770000768442,18.08794712800843,20.283046652249602,3.375346644565184,3.375346644565184,18.0,18.0474,19.05685
