target_name,observation_id,filter,fits_name,mag_ab,mag_err,mag_ab_apcorr,mag_ab_apcorr_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,tds_corr,c2,f_apcorr,apcorr_mag,c1,c1_err,c1_detail_csv,coi_factor,rate_bkg_6,rate_tot_6,rate_tot_6_coi,rate_bkg_6_coi,count_rate_coi,count_rate_final,v_mag_1,v_mag_1_corrected,mlim_obs
Cevenola,0723801601,V,P0723801601OMS006FSIMAGV000.FTZ,17.04579590680691,0.05953827457412166,17.04579590680691,0.05953827457412166,1.7430643418492182,0.09442709188658925,6972.257367396873,377.708367546357,79761.69562216662,27.95490422444977,3.4902908835301663,72789.43825476975,178.1011822899945,2603.81640625,2648.75390625,17.923,25.0,9.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.286969393574282,18.197359563692437,19.940423905541657,22.88243721880483,20.639166759814188,2.2432704589906436,2.2432704589906436,17.02,17.0674,19.878323
Sakaguchi,0748190101,V,P0748190101OMS006FSIMAGV000.FTZ,17.65305571347372,0.09617127162199247,17.65305571347372,0.09617127162199247,1.0350502811877211,0.09104754887309995,3933.1910685133407,345.9806857177798,63879.77781189233,85.48770969726776,6.7634744562099325,59946.58674337899,179.1019206717319,701.23046875,947.2890625,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.238842987757202,15.775417564047103,16.810467845234825,18.892533282065134,17.610268499239606,1.2822647828255285,1.2822647828255285,17.97,18.0174,20.009413
Hektor,0165972001,V,P0165972001OMS006FSIMAGV000.FTZ,14.98041654403472,0.01268609355631628,14.98041654403472,0.01268609355631628,12.975050207500939,0.13956571534014367,12975.050207500939,139.56571534014367,16998.33584457822,27.31648195762562,3.547173641240329,4023.2856370772834,43.04874536788976,147.2841796875,435.2802734375,17.923,12.0,5.999999999999999,0.0,1.0,1.0,1.0,0.0,1.0014431636768346,0.011198800825194869,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_Hektor_P0165972001OMS006FSIMAGV000.csv,1.1569058820041183,4.358559440167057,17.352334768832566,19.571013747442944,4.538438640269821,15.032575107173123,15.032575107173123,15.1,15.1474,19.236603
Lipschutz,0744440301,V,P0744440301OMS402SIMAGE2000.FTZ,17.108099520924682,0.06853626389363364,17.108099520924682,0.06853626389363364,1.7885801970243056,0.1123812879073888,7476.265223561597,469.75378345288516,115427.26131842285,116.53104983864492,7.940102409040682,107950.99609486126,241.667695838315,926.37109375,1155.109375,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1842728517939245,25.825597151880682,27.614177348904988,30.68767550539807,28.569508534805955,2.118166970592114,2.118166970592114,17.02,17.0674,19.886965
Lipschutz,0744440301,V,P0744440301OMS401SIMAGE2000.FTZ,16.81661897463028,0.05712746393434331,16.81661897463028,0.05712746393434331,2.0330391160003054,0.10554368859134723,8498.103504881277,441.17261831183146,111337.81136170775,114.42178485245832,7.677189209586286,102839.70785682647,230.15918039651083,898.77734375,1570.173828125,17.923,13.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.362720143183696,24.60280092268576,26.635840038686066,31.460874984788262,28.69041162953427,2.770463355253991,2.770463355253991,17.02,17.0674,19.886965
Nishimura,0112370801,V,P0112370801OMS402SIMAGE1000.FTZ,17.04990087085067,0.05015822533909877,17.04990087085067,0.05015822533909877,2.1095683058054044,0.096694060661016,1687.6546446443235,77.35524852881281,4467.359213097952,16.57322052132494,2.570149080852606,2779.704568453629,33.285430713292214,167.72265625,454.830078125,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.059366071685283,3.474630710567036,5.584199016372441,5.84063417926878,3.6058290901959307,2.2348050890728492,2.2348050890728492,17.08,17.1274,19.360056
Joan,0601391001,V,P0601391001OMS402SIMAGE2000.FTZ,17.68620625238013,0.10059110141008995,17.68620625238013,0.10059110141008995,1.1257125884710513,0.103796693782742,1688.568882706577,155.69504067411302,14959.814376104623,46.58109639012147,4.912786843247241,13271.245493398046,82.92374539844745,284.90625,814.673828125,17.923,13.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1048160541097052,8.847496995598698,9.97320958406975,10.622527814788375,9.378822474732166,1.2437053400562093,1.2437053400562093,17.35,17.3974,19.320482
Quaide,0692510201,V,P0692510201OMS006FSIMAGV000.FTZ,17.981893018659523,0.14559714224691714,17.981893018659523,0.14559714224691714,0.7084359861674253,0.0945163653204914,3542.1799308371264,472.581826602457,110519.62059915066,165.1648095040951,10.058968604168944,106977.44066831353,256.00048850901663,647.701171875,897.841796875,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.3370331610665238,21.39548813366271,22.103924119830136,25.74506281129774,24.797860405299026,0.9472024059987127,0.9472024059987127,17.74,17.7874,19.919678
Myrtus,0135742601,V,P0135742601OMS402SIMAGE1000.FTZ,17.995756918714378,0.12109022111730877,17.995756918714378,0.12109022111730877,0.8524157473727957,0.09474217554334219,835.3674324253398,92.84733203247535,5464.791181080043,39.83136511046857,4.595732778183539,4629.423748654704,49.54566257035697,116.2255859375,406.9638671875,17.923,9.0,6.0,0.0,1.0,1.0,1.0,0.0,1.012904484378261,0.00724642143095501,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_Myrtus_P0135742601OMS402SIMAGE1000.csv,1.0831217438463707,6.823413688493327,7.686829421561878,8.106036175851736,7.170851821386134,0.9351843544656022,0.9351843544656022,17.95,17.9974,18.995802
Lomberg,0727571501,V,P0727571501OMS008FSIMAGV000.FTZ,19.05481684469549,0.0843646716960072,19.05481684469549,0.0843646716960072,0.3239346591850838,0.025123264851668166,1901.8203840756269,147.4986879441438,13863.888876900077,31.594912834999345,3.76737431089824,11962.06849282445,73.30495537139781,378.607421875,807.8642578125,17.923,8.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0301820649387736,0.023948202202094867,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_Lomberg_P0727571501OMS008FSIMAGV000.csv,1.0565787207403121,3.310911480299733,3.6446231564042604,3.779541977039221,3.426949321204594,0.35259265583462707,0.35259265583462707,18.28,18.3274,20.990757
