#select x.observation_id, x.sso_name, x.ra_deg_1, x.dec_deg_1, x.ra_deg_2, x.dec_deg_2, x.filter, x.xmatch_type, x.v_mag_1, x.v_mag_1_corrected, x.mlim_obs from sso.xmm_om_unique x where filter = 'V' and mlim_obs > v_mag_1_corrected order by v_mag_1_corrected asc limit 200
"observation_id","sso_name","ra_deg_1","dec_deg_1","ra_deg_2","dec_deg_2","filter","xmatch_type","v_mag_1","v_mag_1_corrected","mlim_obs"
"0165972001",Hektor,284.29465,-37.77231,284.31885,-37.742306,V,2,15.1,15.1474,19.236603
"0793183501",Pluto,290.45386,-21.192501,290.4627,-21.192162,V,2,14.7,14.7474,19.007565
"0303670101",Seeligeria,215.06903,6.657949,215.11058,6.594688,V,2,15.63,15.6774,19.47694
"0780670101","1991 SC1",210.18344,-14.46622,210.24474,-14.507062,V,2,18.52,18.5674,20.266552
"0727571501",Lomberg,58.48386,-0.17843609,58.72201,-0.27030504,V,2,18.28,18.3274,20.990757
"0723801601",Cevenola,351.33566,-12.004662,351.69846,-11.964619,V,2,17.02,17.0674,19.878323
"0748190101",Sakaguchi,29.18564,5.722863,29.431702,5.8403807,V,2,17.97,18.0174,20.009413
"0670120301",Chrisclark,343.52396,-17.824842,343.55606,-17.647392,V,2,18.11,18.1574,19.785076
"0670120401",Chrisclark,343.588,-17.584646,343.6382,-17.397612,V,2,18.13,18.1774,19.782831
"0793183501",Pluto,290.45386,-21.192501,290.4627,-21.192162,V,2,14.7,14.7474,19.007565
"0303670101",Seeligeria,215.06903,6.657949,215.11058,6.594688,V,2,15.63,15.6774,19.47694
"0405210101",Zubaida,82.44384,12.187712,82.59312,12.16049,V,2,16.26,16.3074,20.082083
"0723802101",Chopin,10.146284,-9.4725275,10.456929,-9.431454,V,2,16.88,16.9274,19.945889
"0744440301",Lipschutz,191.58722,2.5241559,192.09926,2.315665,V,2,17.02,17.0674,19.886965
"0112370801",Nishimura,34.777752,-5.2152123,34.917595,-5.234906,V,2,17.08,17.1274,19.360056
"0801930901",Biryukov,194.33566,-4.7691097,194.66315,-4.8694215,V,2,17.3,17.3474,18.90225
"0601391001",Joan,311.10928,-10.799758,311.30627,-10.784494,V,2,17.35,17.3974,19.320482
"0721010501","1989 ST10",262.0557,-14.185319,262.57587,-14.321637,V,2,17.51,17.5574,19.705591
"0801930901",Myroncope,193.77138,-4.8424706,194.23102,-4.920063,V,4,17.62,17.6674,18.90225
"0692510201",Quaide,142.18173,18.831175,142.26836,18.820974,V,2,17.74,17.7874,19.919678
"0136550101",Milone,187.13156,2.2099533,187.24306,2.188103,V,4,17.83,17.8774,20.195915
"0135742601",Myrtus,269.99954,-22.69038,270.02426,-22.692225,V,2,17.95,17.9974,18.995802
"0555970401",Jonsujatha,224.05255,-11.526042,224.38554,-11.652401,V,2,18.16,18.2074,19.893715
"0204580301",Rennsteig,278.46445,-21.095718,278.63834,-21.076162,V,2,18.46,18.5074,20.557896
"0505940201",Ohno,266.24353,-21.528444,266.43323,-21.540379,V,2,18.41,18.4574,20.046202
"0103261901",An-Eefje,270.10092,-24.854946,270.1478,-24.856543,V,2,18.0,18.0474,19.05685
"0653950201","1993 SG1",82.5093,10.551114,82.715324,10.477222,V,4,18.01,18.0574,20.293945
"0203170301","1998 YB12",187.92491,0.30781987,188.23128,0.18907033,V,2,18.09,18.1374,19.18103
"0099711101",Papadopoulos,61.992123,17.217712,62.227226,17.250393,V,2,18.13,18.1774,19.101934
"0112370801","1998 MM7",34.620132,-5.1730046,34.839783,-5.204972,V,3,18.18,18.2274,19.360056
"0744490401",Gurzhij,338.88007,-12.779612,339.32846,-12.523151,V,2,18.26,18.3074,19.94768
"0744440301","2001 FV5",191.39912,2.5558758,191.87834,2.3213742,V,3,18.28,18.3274,19.886965
"0164561401","1991 SG1",272.24857,-20.404673,272.35464,-20.400114,V,2,18.29,18.3374,19.130653
"0745130201","1998 YU27",266.36703,-31.460897,266.61627,-31.471338,V,2,18.34,18.3874,19.993279
"0723800701","1981 FT",181.07764,1.7639948,181.45999,1.5569856,V,4,18.35,18.3974,19.794107
"0135742401","1986 TZ3",270.54715,-23.324646,270.58728,-23.327023,V,2,18.36,18.4074,18.978273
"0679980701",Tanais,277.36536,-23.665611,277.47165,-23.674517,V,2,18.38,18.4274,19.910173
"0744490501","1990 SF3",338.75604,-12.678126,339.02414,-12.574529,V,4,18.4,18.4474,19.383263
"0156160101","1998 QK16",277.5004,-23.858372,277.52997,-23.8486,V,2,18.41,18.4574,19.116728
"0790381401",Papacosmas,238.79326,10.96414,239.41899,11.206574,V,3,18.42,18.4674,20.219345
"0804910101","1999 FJ31",270.7659,-34.484066,271.2585,-34.456245,V,3,18.44,18.4874,18.996248
"0154150501","1999 XW114",283.10657,-8.719822,283.19324,-8.711876,V,2,18.46,18.5074,19.096195
"0762520301",Boyan,135.95937,15.101158,136.18655,15.036995,V,2,18.46,18.5074,19.634148
"0552800201","1991 AB2",272.12976,-19.726236,272.42093,-19.693258,V,2,18.49,18.5374,20.24064
"0112410101","1998 SK100",260.04654,-24.932611,260.0816,-24.931559,V,2,18.5,18.5474,19.07584
"0723800701","2000 RD50",180.97818,1.9115059,181.30823,1.7109109,V,4,18.52,18.5674,19.794107
"0205670101","2001 BQ61",73.253365,-2.8586624,73.45941,-3.032147,V,2,18.53,18.5774,20.387918
"0811213001","1999 XQ132",59.4685,27.859022,59.638027,27.823256,V,4,18.54,18.5874,19.494816
"0502120101",Ibuki,184.58986,5.7678843,185.04112,5.664891,V,3,18.54,18.5874,20.00413
"0721010301","2017 WM",261.3579,-14.385541,261.99377,-14.037905,V,1,18.54,18.5874,19.77449
"0601390801",Frydek-Mistek,310.8034,-10.691116,311.06976,-10.703463,V,2,18.59,18.6374,19.384016
"0301880101",Johannessen,268.70892,-23.025778,268.75504,-23.033102,V,2,18.59,18.6374,20.117811
"0744490501",Setsuko,339.06952,-12.540707,339.28516,-12.458349,V,2,18.59,18.6374,19.383263
"0802560101",Joannehsieh,184.87996,2.0475237,184.99066,2.0076375,V,4,18.64,18.6874,20.169867
"0810840201","1998 GL1",283.92627,-37.86235,284.1176,-37.97713,V,2,18.65,18.6974,19.963923
"0111170101",Velichko,98.05292,17.6752,98.378746,17.70505,V,2,18.68,18.7274,20.016567
"0601391101","1999 RQ204",310.90546,-10.698597,311.092,-10.659884,V,2,18.69,18.7374,19.300339
