"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type"
"0744440501";"2019 JB43";191.40302;2.3374963;191.68646;2.3431487;V;2
"0780670101";"2009 WA242";210.16713;-14.760332;210.24452;-14.793831;V;1
"0601960201";"2009 YP18";86.600044;0.13093753;86.7014;0.09542153;V;1
"0414380601";"2010 AZ58";63.653496;11.771823;63.706226;11.751078;V;1
"0205390201";"2010 BC52";31.341661;29.419004;31.630333;29.479958;V;2
"0741260101";"2010 CJ243";174.42227;-23.140383;174.57985;-23.099924;V;1
"0502020101";"2010 DL32";24.433426;-12.972363;24.709063;-12.979527;V;2
"0782010201";"2010 DT41";185.40231;10.77153;185.48293;10.720812;V;1
"0743950101";"2010 FF65";146.1297;10.139796;146.43338;9.981481;V;2
"0673720201";"2010 HA95";278.00403;-9.735351;278.07214;-9.70476;V;2
"0109463801";"2010 JP41";212.27486;-45.28544;212.29599;-45.283;V;2
"0740060501";"2010 JK51";40.309643;-0.20739445;40.576923;-0.020746222;V;2
"0762520301";"2010 JF144";135.79333;15.247211;136.01665;15.082785;V;2
"0126700501";"2010 KP114";187.18787;1.9939374;187.29024;1.9113495;V;2
"0672420301";"2010 LG125";109.1866;37.7619;109.465;37.8193;V;2
"0112320301";"2010 OV55";156.24898;-7.177342;156.33925;-7.348975;V;3
"0204730201";"2010 PN62";256.35577;-48.681;256.74478;-48.967278;V;1
"0792382801";"2010 RT98";83.693375;33.07094;83.756645;33.082104;V;1
"0744490401";"2010 UR1";337.93216;-12.702202;338.50693;-12.274901;V;1
"0653040101";"2011 AH1";117.555275;17.763134;117.83757;17.738153;V;3
"0653040101";"2011 BM3";116.78394;17.665035;117.12409;17.635946;V;1
"0201780101";"2011 BK169";193.8631;-30.1717;193.9461;-30.274546;V;2
"0781710401";"2011 KL13";272.04266;-27.529907;272.23032;-27.667753;V;2
"0301880101";"2011 NS2";267.97977;-23.233873;268.0063;-23.218233;V;1
"0792382801";"2011 QA62";83.363945;32.84663;83.45971;32.858704;V;1
"0106660201";"2011 QS63";333.51572;-18.419035;333.7225;-18.239347;V;1
"0206380401";"2011 SF244";261.6784;-35.64813;261.70456;-35.663628;V;1
"0205390101";"2011 UT67";344.5315;-36.98632;344.92688;-36.930477;V;2
"0405210601";"2011 WU14";83.8279;9.974644;83.95896;9.956023;V;2
"0136340101";"2011 WA89";21.552933;-1.4068408;21.589262;-1.3345956;V;2
"0205580201";"2012 QS52";255.2921;-29.90534;255.41765;-29.919207;V;2
"0109130301";"2012 TX215";33.461605;0.22831447;33.47377;0.22868276;V;1
"0727761001";"2012 TG237";284.06155;-37.675922;284.32675;-37.581554;V;1
"0205580201";"2012 UF23";255.4404;-29.987446;255.52718;-30.017836;V;2
"0402430401";"2012 VB38";266.5104;-29.168337;266.71225;-29.136305;V;1
"0727960801";"2013 AZ127";172.75575;28.053637;172.87448;28.067389;V;1
"0690720101";"2013 BD11";117.97626;16.26244;118.004196;16.241629;V;1
"0690720101";"2013 BV57";118.02771;16.770582;118.05969;16.75577;V;1
"0851180501";"2013 CF33";195.64621;27.540783;195.67403;27.470762;V;1
"0146490101";"2013 CL34";72.75176;44.720177;72.791016;44.652634;V;1
"0763450301";"2013 CG90";33.902977;1.759616;34.434002;1.7774184;V;1
"0740980201";"2013 CY97";267.16635;-32.339256;267.40955;-32.278736;V;1
"0743050301";"2013 HR126";12.962555;12.500599;13.662956;12.784507;V;3
"0830400101";"2013 OY5";255.85411;-40.410908;256.01562;-40.32406;V;1
"0146490101";"2013 VT15";71.60943;44.495888;71.64473;44.47618;V;1
"0502070101";"2014 AY44";198.3571;-19.455292;198.68903;-19.685793;V;2
"0670120401";"2014 HC4";343.1632;-17.886606;343.52005;-17.630255;V;2
"0800050101";"2014 HO142";200.43706;-2.6203144;200.56905;-2.6666162;V;1
"0412600801";"2014 JX74";283.992;-38.06743;284.4069;-37.991837;V;1
"0804680101";"2014 JK92";178.60963;19.76612;178.98941;19.746733;V;3
"0810840201";"2014 OX195";283.90356;-38.11273;284.1241;-38.1744;V;1
"0147800201";"2014 QY152";53.93568;9.969341;54.46171;9.909785;V;1
"0672420101";"2014 QQ217";109.37782;37.730797;109.62919;37.734123;V;2
"0743050801";"2014 QS326";13.264536;12.608644;13.62826;12.8127775;V;3
"0206610201";"2014 RM11";264.33624;-25.219278;264.67065;-25.1645;V;1
"0112370701";"2014 SX211";34.837223;-5.6150317;34.96837;-5.6115117;V;1
"0112370801";"2014 SX211";34.974552;-5.611551;35.12411;-5.6177583;V;1
"0743070301";"2014 SW260";72.03285;14.225276;72.12633;14.225066;V;1
"0147420301";"2014 SX350";253.67488;2.6050792;253.74684;2.6801074;V;1
"0748190101";"2014 TQ6";28.818014;5.5902123;28.999653;5.6444097;V;2
"0412601501";"2014 TQ17";283.3269;-38.12046;284.02823;-37.753956;V;4
"0748190101";"2014 UM227";28.855661;5.205181;28.935472;5.36701;V;1
"0653040101";"2014 YY48";116.8891;17.536104;117.08155;17.41207;V;1
"0780500301";"2015 AN180";1.0144597;20.275671;1.0958673;20.566027;V;1
"0805200301";"2015 BH93";254.55753;-42.83244;254.81287;-42.88791;V;1
"0744440501";"2015 BL304";191.54768;2.4323797;191.73311;2.4466984;V;2
"0781710401";"2015 BQ450";271.9382;-27.693012;272.06393;-27.666607;V;1
"0805200201";"2015 BO527";254.37634;-42.97409;254.81645;-43.08659;V;1
"0743950601";"2015 CX8";146.13226;9.738377;146.3678;9.665248;V;1
"0761100301";"2015 DH226";238.76036;11.495537;239.16023;10.924764;V;3
"0653110101";"2015 FS175";268.59598;-22.308167;268.6626;-22.340216;V;1
"0780760101";"2015 FZ392";42.377968;42.212612;42.656654;42.250786;V;4
"0204580401";"2015 HE56";278.23132;-21.174591;278.28284;-21.144676;V;1
"0503610101";"2015 MX129";192.31734;5.3622236;192.49913;5.3480725;V;2
"0550460601";"2015 OK30";273.50156;-57.676823;273.6239;-57.74521;V;2
"0760350401";"2015 OC75";345.7507;8.8596;345.9306;8.949468;V;4
"0760350601";"2015 PU8";345.4781;8.796023;345.84973;8.888446;V;2
"0741280201";"2015 RF87";0.6085548;19.913286;1.2799926;20.005875;V;1
"0727571501";"2015 VK135";58.435223;0.016823;58.589634;0.062075417;V;2
"0761730301";"2015 XG396";145.27423;4.8911843;145.37209;4.789666;V;2
"0504650201";"2016 AV66";272.31372;-19.809008;272.41995;-19.786947;V;1
"0135960101";"2016 CY12";268.097;-26.669483;268.1801;-26.65301;V;2
"0503610101";"2016 CJ51";192.44293;4.921327;192.81108;4.878194;V;1
"0128531401";"2016 CA229";161.24315;21.568274;161.28975;21.460316;V;3
"0503610101";"2016 CV296";192.45848;5.2951837;192.71469;5.2351265;V;2
"0128531201";"2016 HD16";74.44124;20.522438;74.51339;20.545647;V;2
"0727761001";"2016 LS";284.19452;-37.785748;284.13058;-37.81231;V;2
"0206380401";"2016 NF2";261.354;-36.256042;261.37674;-36.2583;V;2
"0820830101";"2016 RB30";173.02089;-12.470449;173.30812;-12.632812;V;2
"0307090201";"2016 SN48";80.34937;42.180668;80.473206;42.139217;V;1
"0304050101";"2016 TE86";355.4034;-15.203814;355.54428;-15.193781;V;1
"0405210501";"2016 YW9";85.944305;6.5613775;86.100586;6.5478406;V;1
"0147800201";"2016 YG12";54.185432;9.897518;54.87228;10.119402;V;3
"0741470201";"2017 BQ95";275.14154;-13.222122;275.21115;-13.213856;V;2
